country,mean_margin,median_margin,mean_entropy,mis_vanilla,mis_swa,mis_gain,mis_gain_pct
USA,1.0,1.0,0.0,0.4770575707350939,0.3694406750011599,0.10761689573393401,22.558471416376026
GBR,1.0,1.0,0.0,0.4856783229895361,0.3552058278242458,0.1304724951652903,26.863973331603955
DEU,1.0,1.0,0.0,0.5046521772890943,0.3531755185040848,0.1514766587850095,30.016051768312256
ARG,1.0,1.0,0.0,0.4752493130487205,0.4054590197844923,0.0697902932642282,14.684985616607005
BRA,0.9893432030754704,1.0,0.0087974080221738,0.3215347460460429,0.4084803587360481,-0.08694561269000523,-27.04081402062683
MEX,1.0,1.0,0.0,0.4989788673083868,0.4633478284277852,0.035631038880601595,7.140791166728978
COL,1.0,1.0,0.0,0.4505381008997385,0.4638467244087112,-0.013308623508972717,-2.9539396296106775
VNM,1.0,1.0,0.0,0.480971607995015,0.5068272493496523,-0.025855641354637304,-5.375710525288488
MMR,1.0,1.0,0.0,0.4296573922080332,0.2931131786289172,0.13654421357911595,31.77978921237865
THA,1.0,1.0,0.0,0.40795109977945,0.4662149629743042,-0.058263863194854215,-14.282070382051506
MYS,1.0,1.0,0.0,0.4123115425779618,0.472001759372122,-0.0596902167941602,-14.476969628584602
IDN,1.0,1.0,0.0,0.4610622380518284,0.2956036415299128,0.16545859652191558,35.8863907877262
CHN,1.0,1.0,0.0,0.4527400913591539,0.2293401694031087,0.2233999219560452,49.343967150199745
JPN,1.0,1.0,0.0,0.2836844283913686,0.1903968994796555,0.0932875289117131,32.88426137476056
BGD,1.0,1.0,0.0,0.4467008052126371,0.5137437107911386,-0.06704290557850145,-15.008458636332186
IRN,0.9858522268072252,1.0,0.0109593042097483,0.3702296351123268,0.5903110228345111,-0.22008138772218427,-59.444562738855865
SRB,1.0,1.0,0.0,0.4698695204323179,0.5053837311265466,-0.035514210694228665,-7.558313350811248
ROU,1.0,1.0,0.0,0.4721286854096546,0.5510332166223934,-0.07890453121273877,-16.712505223925387
KGZ,1.0,1.0,0.0,0.4535337086146239,0.5366496576698805,-0.0831159490552566,-18.326300223448612
ETH,1.0,1.0,0.0,0.5838778607335274,0.4828416675446259,0.10103619318890156,17.30433708549413
