country,dim_dropped,mis,pearson_r
USA,(none),0.3937664315530493,0.6398162378420621
USA,religiosity,0.39951668508089244,0.651705272367072
USA,child_rearing,0.3966545696101373,0.6465553833975981
USA,moral_acceptability,0.3934669200885833,0.6289511318301012
USA,social_trust,0.40241686876026783,0.621582193305432
USA,political_participation,0.3863698318190904,0.6542015413243742
USA,national_pride,0.40167469535336836,0.63719543187323
USA,happiness,0.3953445051878867,0.6592027114615907
USA,gender_equality,0.378525637845704,0.7155765246367495
USA,materialism_orientation,0.3930352517518051,0.6122934955524185
USA,tolerance_diversity,0.41789810544999834,0.6354987011502999
JPN,(none),0.4020193561258202,0.2418569911410964
JPN,religiosity,0.3883523429891761,0.3517311918575299
JPN,child_rearing,0.39838452400195357,0.34476167694414517
JPN,moral_acceptability,0.38272283440910226,0.19080346914457583
JPN,social_trust,0.3991253334828052,0.20562149133420707
JPN,political_participation,0.40474941942169285,0.23324667551620518
JPN,national_pride,0.4064467937065561,0.25236485663046376
JPN,happiness,0.4053576901594222,0.2349755769533684
JPN,gender_equality,0.39398692329402946,0.39393972529989285
JPN,materialism_orientation,0.3999837683311599,0.26654994629874784
JPN,tolerance_diversity,0.40787261358989924,0.27652645746146626
VNM,(none),0.5081190155041407,-0.2228292606943966
VNM,religiosity,0.5135631707938768,-0.2892755997622264
VNM,child_rearing,0.5115069528383215,-0.22683626059134626
VNM,moral_acceptability,0.4791255854409573,-0.30722011462907595
VNM,social_trust,0.5020560471625236,-0.17355957938151806
VNM,political_participation,0.5122483715280806,-0.179865004539401
VNM,national_pride,0.5068062163537203,-0.19859161676740966
VNM,happiness,0.5159261621123149,-0.22315677021818026
VNM,gender_equality,0.5033925883143057,-0.3300413217407451
VNM,materialism_orientation,0.5069017910772208,-0.1820279065838251
VNM,tolerance_diversity,0.49916964507584427,-0.27370364431421446
