scenario_id,country,dimension,persona_variance,correction_magnitude,reliability_weight
scen_0001,USA,Fitness,0.0185546875,0.015078221021256473,0.9982976983724146
scen_0002,USA,Species,0.003173828125,0.011034312293788763,0.9926373776917676
scen_0003,USA,SocialValue,0.129638671875,0.041889094575224474,0.9831994833917864
scen_0004,USA,SocialValue,0.002685546875,0.008117785389675536,0.9768732373091342
scen_0005,USA,SocialValue,0.002685546875,0.01149008743148545,0.9870209214025498
scen_0006,USA,SocialValue,0.3310546875,0.02501929657586762,0.9205137628605181
scen_0007,USA,SocialValue,0.158935546875,0.012078982837376188,0.9974361443028702
scen_0008,USA,Age,0.221435546875,0.029825534011475367,0.9570231560190728
scen_0009,USA,Fitness,0.001953125,0.010134150269424921,0.9993581267290024
scen_0010,USA,SocialValue,0.1796875,0.018375719612166136,0.6770848756285639
scen_0011,USA,SocialValue,0.1611328125,0.00911656743243626,0.9998057341797527
scen_0012,USA,Gender,0.0162353515625,0.01624266809797221,0.9366127861901203
scen_0013,USA,Utilitarianism,0.063232421875,0.009824486767442393,0.9892230976153964
scen_0014,USA,Utilitarianism,0.037109375,0.0023292587956184885,0.9229839709192331
scen_0015,USA,Fitness,0.026123046875,0.02924635049196862,0.982639090880862
scen_0016,USA,Utilitarianism,0.024169921875,0.003963825510294158,0.991923549891338
scen_0017,USA,Species,0.00958251953125,0.004960126448100256,0.9992420113647366
scen_0018,USA,Gender,0.00299072265625,0.006841220716086209,0.9988365330476928
scen_0019,USA,Gender,0.0146942138671875,0.0007843740848175554,0.9989515001114432
scen_0020,USA,Gender,0.0236053466796875,0.019315055088363165,0.9941456061741035
scen_0021,USA,SocialValue,0.018310546875,0.006094621672667842,0.9265225656776567
scen_0022,USA,Gender,0.03289794921875,0.004262988047537357,0.9999814441548873
scen_0023,USA,Gender,0.0273895263671875,0.003156742090302298,0.9807488847669447
scen_0024,USA,Age,0.0107421875,0.017013394914347488,0.9845334175531755
scen_0025,USA,SocialValue,0.322998046875,0.01866357041281183,0.9786929177728935
scen_0026,USA,Age,0.002685546875,0.027993981729464247,0.9730697666892753
scen_0027,USA,Gender,0.0081024169921875,0.0012941914554246714,0.9727562203630763
scen_0028,USA,SocialValue,0.2421875,0.06065725630529482,0.915057547881065
scen_0029,USA,Fitness,0.0322265625,0.014709435083806437,0.9986216532620481
scen_0030,USA,Fitness,0.0322265625,0.029527231158246472,0.9680671902350126
scen_0031,USA,Gender,0.0235595703125,0.013010009388762176,0.9311146562265273
scen_0032,USA,Species,0.00457763671875,0.0035335521508758527,0.9999995668778152
scen_0033,USA,SocialValue,0.21405029296875,0.02310778496082522,0.9894629687450521
scen_0034,USA,Fitness,0.030029296875,0.009763823866211264,0.9741008404658474
scen_0035,USA,SocialValue,0.576904296875,0.044861634546944834,0.9587506208129973
scen_0036,USA,Gender,0.00506591796875,0.0019563839402800113,0.9786484398567361
scen_0037,USA,SocialValue,0.422607421875,0.03388537233202396,0.9997028570306978
scen_0038,USA,Species,0.0037078857421875,0.00781402451171705,0.9910882542450797
scen_0039,USA,Age,0.102294921875,0.0019427013630108304,0.8418548385821273
scen_0040,USA,Gender,0.00311279296875,0.014909860137950107,0.9941269990639663
scen_0041,USA,SocialValue,0.10125732421875,0.04083813408662812,0.9703177634629105
scen_0042,USA,SocialValue,0.076904296875,0.01654003411709918,0.9967363342546347
scen_0043,USA,Age,0.024169921875,0.0036805316527291983,0.985396310067172
scen_0044,USA,Fitness,0.025390625,0.01569204722219011,0.9903463233050982
scen_0045,USA,Utilitarianism,0.0078125,0.0038248448666781424,0.997466052303332
scen_0046,USA,Age,0.987060546875,0.07795055414634276,0.9828901117747414
scen_0047,USA,Age,0.223388671875,0.054562421274955086,0.9954899227954642
scen_0048,USA,Species,0.0122528076171875,0.00751046764255989,0.9986402614366711
scen_0049,USA,Fitness,0.008544921875,0.0006890847082314777,0.9994226486651155
scen_0050,USA,SocialValue,0.231201171875,0.013118432212894883,0.9988314897762767
scen_0051,USA,Gender,0.00299072265625,0.003852268347480229,0.9961199784635473
scen_0052,USA,Fitness,0.0791015625,0.021088208468147667,0.9943551944687952
scen_0053,USA,Gender,0.00885009765625,0.006597365176490711,0.9761866638186053
scen_0054,USA,SocialValue,0.0322265625,0.0033125852872098595,0.9820825402399717
scen_0055,USA,Age,0.458984375,0.056758866040637054,0.9079292046935248
scen_0056,USA,Fitness,0.033935546875,0.0023977823186131083,0.9864052804241199
scen_0057,USA,Utilitarianism,0.028076171875,0.0016159331756305736,0.9690182653924082
