model_slug,country,variant,mis,pearson_r,jsd,mae
1,USA,Full SWA-DPBR,0.3937664315530493,0.6398162378420621,0.06877336793546622,13.350302054078545
1,USA,No debiasing,0.39016601809205176,0.5787212772709788,0.07429663221706305,12.73125661239609
1,USA,Without persona,0.41628306072976906,0.6470403399251662,0.07530390776499497,13.891886604828
1,USA,No-IS (consensus only),0.39059552793642444,0.6068069710617855,0.06681432749219744,13.33209951708737
1,USA,Always-on PT-IS,0.39546464224867467,0.6398319178683227,0.06914072241008254,13.407837270288768
1,JPN,Full SWA-DPBR,0.4008573462256682,0.24542022740037991,0.057051519567492916,14.016586528430672
1,JPN,No debiasing,0.37322334155396797,0.5857025108891161,0.04572608326575429,13.51117025976909
1,JPN,Without persona,0.3212205327754509,0.724060140025522,0.03914640841656732,11.579662623124056
1,JPN,No-IS (consensus only),0.45284750384592465,-0.15019305959836515,0.07114394243610996,15.470677821622907
1,JPN,Always-on PT-IS,0.4007535719445992,0.2437753515621396,0.05703723231727659,14.010108077501394
1,VNM,Full SWA-DPBR,0.5076306491779597,-0.2208459873232001,0.06596247733393125,18.38122666704172
1,VNM,No debiasing,0.49493581525847424,0.06387215557148886,0.058008785118298906,18.331550912678086
1,VNM,Without persona,0.45302585738257256,-0.36026230432096445,0.07503041701759638,16.91022000061115
1,VNM,No-IS (consensus only),0.5394854691072147,-0.09540611795301793,0.0621862714505772,20.09680823633739
1,VNM,Always-on PT-IS,0.5086882714545314,-0.23060515985366745,0.06603332897546554,18.424232936812007
