scenario_id,country,dimension,persona_variance,correction_magnitude,reliability_weight
scen_0001,USA,Fitness,,0.015078221021256473,0.9982976983724146
scen_0002,USA,Species,,0.011034312293788763,0.9926373776917676
scen_0003,USA,SocialValue,,0.041889094575224474,0.9831994833917864
scen_0004,USA,SocialValue,,0.008117785389675536,0.9768732373091342
scen_0005,USA,SocialValue,,0.01149008743148545,0.9870209214025498
scen_0006,USA,SocialValue,,0.02501929657586762,0.9205137628605181
scen_0007,USA,SocialValue,,0.012078982837376188,0.9974361443028702
scen_0008,USA,Age,,0.029825534011475367,0.9570231560190728
scen_0009,USA,Fitness,,0.010134150269424921,0.9993581267290024
scen_0010,USA,SocialValue,,0.018375719612166136,0.6770848756285639
scen_0011,USA,SocialValue,,0.00911656743243626,0.9998057341797527
scen_0012,USA,Gender,,0.01624266809797221,0.9366127861901203
scen_0013,USA,Utilitarianism,,0.009824486767442393,0.9892230976153964
scen_0014,USA,Utilitarianism,,0.0023292587956184885,0.9229839709192331
scen_0015,USA,Fitness,,0.02924635049196862,0.982639090880862
scen_0016,USA,Utilitarianism,,0.003963825510294158,0.991923549891338
scen_0017,USA,Species,,0.004960126448100256,0.9992420113647366
scen_0018,USA,Gender,,0.006841220716086209,0.9988365330476928
scen_0019,USA,Gender,,0.0007843740848175554,0.9989515001114432
scen_0020,USA,Gender,,0.019315055088363165,0.9941456061741035
scen_0021,USA,SocialValue,,0.006094621672667842,0.9265225656776567
scen_0022,USA,Gender,,0.004262988047537357,0.9999814441548873
scen_0023,USA,Gender,,0.003156742090302298,0.9807488847669447
scen_0024,USA,Age,,0.017013394914347488,0.9845334175531755
scen_0025,USA,SocialValue,,0.01866357041281183,0.9786929177728935
scen_0026,USA,Age,,0.027993981729464247,0.9730697666892753
scen_0027,USA,Gender,,0.0012941914554246714,0.9727562203630763
scen_0028,USA,SocialValue,,0.06065725630529482,0.915057547881065
scen_0029,USA,Fitness,,0.014709435083806437,0.9986216532620481
scen_0030,USA,Fitness,,0.029527231158246472,0.9680671902350126
scen_0031,USA,Gender,,0.013010009388762176,0.9311146562265273
scen_0032,USA,Species,,0.0035335521508758527,0.9999995668778152
scen_0033,USA,SocialValue,,0.02310778496082522,0.9894629687450521
scen_0034,USA,Fitness,,0.009763823866211264,0.9741008404658474
scen_0035,USA,SocialValue,,0.044861634546944834,0.9587506208129973
scen_0036,USA,Gender,,0.0019563839402800113,0.9786484398567361
scen_0037,USA,SocialValue,,0.03388537233202396,0.9997028570306978
scen_0038,USA,Species,,0.00781402451171705,0.9910882542450797
scen_0039,USA,Age,,0.0019427013630108304,0.8418548385821273
scen_0040,USA,Gender,,0.014909860137950107,0.9941269990639663
scen_0041,USA,SocialValue,,0.04083813408662812,0.9703177634629105
scen_0042,USA,SocialValue,,0.01654003411709918,0.9967363342546347
scen_0043,USA,Age,,0.0036805316527291983,0.985396310067172
scen_0044,USA,Fitness,,0.01569204722219011,0.9903463233050982
scen_0045,USA,Utilitarianism,,0.0038248448666781424,0.997466052303332
scen_0046,USA,Age,,0.07795055414634276,0.9828901117747414
scen_0047,USA,Age,,0.054562421274955086,0.9954899227954642
scen_0048,USA,Species,,0.00751046764255989,0.9986402614366711
scen_0049,USA,Fitness,,0.0006890847082314777,0.9994226486651155
scen_0050,USA,SocialValue,,0.013118432212894883,0.9988314897762767
scen_0051,USA,Gender,,0.003852268347480229,0.9961199784635473
scen_0052,USA,Fitness,,0.021088208468147667,0.9943551944687952
scen_0053,USA,Gender,,0.006597365176490711,0.9761866638186053
scen_0054,USA,SocialValue,,0.0033125852872098595,0.9820825402399717
scen_0055,USA,Age,,0.056758866040637054,0.9079292046935248
scen_0056,USA,Fitness,,0.0023977823186131083,0.9864052804241199
scen_0057,USA,Utilitarianism,,0.0016159331756305736,0.9690182653924082
scen_0058,USA,Age,,0.026242803438671324,0.9840638634815799
scen_0059,USA,Age,,0.08760245413467556,0.99720897745563
scen_0060,USA,Age,,0.01182755671064298,0.9988720630460909
scen_0061,USA,Age,,0.0019758218908055496,0.9457719788480472
scen_0062,USA,Gender,,0.003740829132149198,0.99777803586401
scen_0063,USA,Gender,,0.007891453107446458,0.9999294609700007
scen_0064,USA,Gender,,0.007529239178699273,0.9853394301387748
scen_0065,USA,Fitness,,0.011629791528332503,0.9990030339447916
scen_0066,USA,Fitness,,0.010633050700094371,0.999339741942667
scen_0067,USA,Age,,0.03808541114720521,0.9997888843021329
scen_0068,USA,SocialValue,,0.007393728311028628,0.9995328171730145
scen_0069,USA,Gender,,0.015153664963416753,0.9991579196097571
scen_0070,USA,SocialValue,,0.004832500630614703,0.9804518443254171
scen_0071,USA,Gender,,0.0014858499046922799,0.9997551787643342
scen_0072,USA,Species,,0.0008368134793096631,0.9825868495335902
scen_0073,USA,Age,,0.06711011577732372,0.9960870332963482
scen_0074,USA,SocialValue,,0.03203962348881009,0.9999737746715724
scen_0075,USA,SocialValue,,0.08073396523842687,0.926731592329145
scen_0076,USA,Fitness,,0.028371592497560518,0.9997528322511295
scen_0077,USA,SocialValue,,0.01094619406301606,0.9996403079417622
scen_0078,USA,Gender,,0.01955523503069191,0.9894438891081366
scen_0079,USA,Gender,,0.0030995948325977848,0.9987882216685571
scen_0080,USA,Age,,0.0028853951754786037,0.9989936781328308
scen_0081,USA,Fitness,,0.006302287545343319,0.9967983094288638
scen_0082,USA,Age,,0.0052930223740380545,0.9930788302276381
scen_0083,USA,Gender,,0.013190342381827189,0.9961396073253549
scen_0084,USA,Gender,,0.007613474450615111,0.9938352563352018
scen_0085,USA,SocialValue,,0.04633857293960608,0.9773664136344454
scen_0086,USA,Age,,0.006332182486157287,0.9272461969291372
scen_0087,USA,SocialValue,,0.006280119811766895,0.9300084711116975
scen_0088,USA,Gender,,0.01059110974276808,0.9951904142576417
scen_0089,USA,Age,,0.0024879044801163143,0.9964880002991153
scen_0090,USA,Fitness,,0.02331017972931583,0.9933598274502492
scen_0091,USA,Species,,0.010241670106244237,0.9939183159706472
scen_0092,USA,Gender,,0.001830247833430863,0.9861003304658092
scen_0093,USA,SocialValue,,0.009382711402901108,0.9561440907380911
scen_0094,USA,Utilitarianism,,0.0019069471578186598,0.9899308060486598
scen_0095,USA,Fitness,,0.007805323202015589,0.9854870282875758
scen_0096,USA,SocialValue,,0.02266170041298303,0.9867944439794316
scen_0097,USA,Species,,0.019089400734806656,0.996381549936538
scen_0098,USA,Species,,0.00572106960676578,0.9097673040122713
scen_0099,USA,Fitness,,0.006442560430012657,0.9859684852170596
scen_0100,USA,Fitness,,0.016363991290456823,0.9486674444206193
scen_0101,USA,SocialValue,,0.012263546434012526,0.9744845089229479
scen_0102,USA,SocialValue,,0.006798086235866243,0.9960434003683368
