model_slug,country,variant,mis,delta_mis_vs_full
1,USA,Full SWA-DPBR,0.3937664315530493,0.0
1,USA,No debiasing,0.39016601809205176,-0.0036004134609975424
1,USA,Without persona,0.41628306072976906,0.02251662917671976
1,USA,No-IS (consensus only),0.39059552793642444,-0.003170903616624865
1,USA,Always-on PT-IS,0.39546464224867467,0.0016982106956253684
1,JPN,Full SWA-DPBR,0.4008573462256682,0.0
1,JPN,No debiasing,0.37322334155396797,-0.02763400467170024
1,JPN,Without persona,0.3212205327754509,-0.07963681345021734
1,JPN,No-IS (consensus only),0.45284750384592465,0.05199015762025644
1,JPN,Always-on PT-IS,0.4007535719445992,-0.00010377428106900233
1,VNM,Full SWA-DPBR,0.5076306491779597,0.0
1,VNM,No debiasing,0.49493581525847424,-0.012694833919485504
1,VNM,Without persona,0.45302585738257256,-0.054604791795387186
1,VNM,No-IS (consensus only),0.5394854691072147,0.031854819929254985
1,VNM,Always-on PT-IS,0.5086882714545314,0.0010576222765716903
