country,dim_a,dim_b
ARG,Age_Young,Species_Humans
ARG,Species_Humans,Utilitarianism_More
ARG,Fitness_Fit,Gender_Female
ARG,Gender_Female,SocialValue_High
BGD,Age_Young,Gender_Female
BGD,Gender_Female,SocialValue_High
BGD,Age_Young,Fitness_Fit
BGD,Fitness_Fit,SocialValue_High
BRA,Age_Young,Species_Humans
BRA,Age_Young,Gender_Female
BRA,Gender_Female,SocialValue_High
BRA,Fitness_Fit,SocialValue_High
CHN,Species_Humans,Utilitarianism_More
CHN,Fitness_Fit,SocialValue_High
COL,Age_Young,Species_Humans
COL,SocialValue_High,Species_Humans
COL,Species_Humans,Utilitarianism_More
COL,Fitness_Fit,Gender_Female
COL,Gender_Female,SocialValue_High
COL,Gender_Female,Utilitarianism_More
COL,Fitness_Fit,SocialValue_High
DEU,Age_Young,Gender_Female
DEU,Fitness_Fit,Gender_Female
DEU,Gender_Female,SocialValue_High
ETH,Species_Humans,Utilitarianism_More
ETH,Age_Young,Gender_Female
ETH,Gender_Female,SocialValue_High
ETH,Age_Young,SocialValue_High
ETH,Fitness_Fit,SocialValue_High
GBR,Fitness_Fit,Gender_Female
GBR,Gender_Female,SocialValue_High
GBR,Fitness_Fit,SocialValue_High
IDN,Species_Humans,Utilitarianism_More
IDN,Gender_Female,SocialValue_High
IDN,Fitness_Fit,SocialValue_High
IRN,Fitness_Fit,Species_Humans
IRN,SocialValue_High,Species_Humans
IRN,Species_Humans,Utilitarianism_More
IRN,Age_Young,Gender_Female
IRN,Age_Young,Fitness_Fit
IRN,Age_Young,SocialValue_High
IRN,Fitness_Fit,SocialValue_High
JPN,Species_Humans,Utilitarianism_More
JPN,Gender_Female,SocialValue_High
JPN,Age_Young,Utilitarianism_More
JPN,Fitness_Fit,SocialValue_High
KGZ,Species_Humans,Utilitarianism_More
KGZ,Age_Young,Gender_Female
KGZ,Gender_Female,SocialValue_High
KGZ,Age_Young,Fitness_Fit
KGZ,Age_Young,Utilitarianism_More
KGZ,Fitness_Fit,SocialValue_High
MEX,Age_Young,Species_Humans
MEX,Species_Humans,Utilitarianism_More
MEX,Fitness_Fit,Gender_Female
MEX,Gender_Female,SocialValue_High
MEX,Age_Young,Utilitarianism_More
MEX,Fitness_Fit,SocialValue_High
MMR,Age_Young,Species_Humans
MMR,Age_Young,Gender_Female
MMR,Fitness_Fit,Gender_Female
MMR,Gender_Female,SocialValue_High
MMR,Age_Young,Fitness_Fit
MMR,Fitness_Fit,SocialValue_High
MYS,Gender_Female,SocialValue_High
MYS,Age_Young,Fitness_Fit
MYS,Fitness_Fit,SocialValue_High
ROU,Age_Young,Gender_Female
ROU,Gender_Female,SocialValue_High
ROU,Age_Young,Fitness_Fit
ROU,Age_Young,Utilitarianism_More
ROU,Fitness_Fit,SocialValue_High
SRB,Age_Young,Gender_Female
SRB,Gender_Female,SocialValue_High
SRB,Age_Young,Fitness_Fit
SRB,Age_Young,Utilitarianism_More
SRB,Fitness_Fit,SocialValue_High
THA,Age_Young,Gender_Female
THA,Gender_Female,SocialValue_High
THA,Age_Young,Fitness_Fit
THA,Fitness_Fit,SocialValue_High
USA,Fitness_Fit,Gender_Female
USA,Gender_Female,SocialValue_High
USA,Fitness_Fit,SocialValue_High
VNM,Age_Young,Gender_Female
VNM,Age_Young,Fitness_Fit
VNM,Age_Young,SocialValue_High
