K_half,K_total,country,n_scenarios,elapsed_sec,mis,jsd,pearson_r,flip_rate,mean_reliability_r,std_reliability_r
8,16,USA,310,29.126614809036255,0.3714485203242019,0.08615042335539064,0.5018371091642084,0.34838709677419355,0.6904434911009762,0.3799529524720525
8,16,VNM,310,33.078530073165894,0.5070140107914264,0.11849150384165212,0.4264099461365908,0.23548387096774193,0.6716360832617604,0.4017845619386557
8,16,DEU,310,28.45340609550476,0.355694142745916,0.09065434335946242,0.7038797503499494,0.267741935483871,0.6897560748449383,0.38006476533790784
16,32,USA,310,27.146141052246094,0.3636431678018917,0.08558910471612935,0.5202660592409651,0.3193548387096774,0.7622709303698039,0.377496064751826
16,32,VNM,310,30.35094404220581,0.5121851487673317,0.11844096780252404,0.4201002675196317,0.21935483870967742,0.7261291860905148,0.40247542753441495
16,32,DEU,310,27.93168020248413,0.35188248082819773,0.08951704916539947,0.7103018159781667,0.27419354838709675,0.7181489241336254,0.39669738442995567
32,64,USA,310,27.830110549926758,0.3753880995191098,0.08768867383836938,0.501384891625925,0.3419354838709677,0.7874548548599987,0.3818206503749409
32,64,VNM,310,29.95504093170166,0.5032565355142876,0.11391854628451864,0.41969034814873996,0.22580645161290322,0.761602342505219,0.39754891369152695
32,64,DEU,310,27.484392881393433,0.3526922295909962,0.08934150629824261,0.7189674103734819,0.267741935483871,0.7501333662075472,0.39375870474804725
64,128,USA,310,26.98270273208618,0.36596779324610895,0.08517305529293157,0.5203898630205925,0.32903225806451614,0.8073025229449327,0.3694960636715258
64,128,VNM,310,30.12308621406555,0.511587391134104,0.1179135496502237,0.41277589816849725,0.23548387096774193,0.7852964403104808,0.3881342942672982
64,128,DEU,310,27.66244387626648,0.35331763832344154,0.08869781160001952,0.7143933004701156,0.27419354838709675,0.7856906450394008,0.3838634178609424
128,256,USA,310,28.09997248649597,0.3747761054711886,0.08862918524251379,0.5146437947681376,0.32903225806451614,0.8192888892965708,0.3671068521065413
128,256,VNM,310,30.847522497177124,0.514018270055613,0.11701089197992733,0.41557763720047314,0.2161290322580645,0.8035477214819422,0.3717341763730818
128,256,DEU,310,27.744412660598755,0.3551681043846884,0.09006244832161389,0.7127378592697959,0.27741935483870966,0.8176998257040855,0.35651751206943405
192,384,USA,310,27.99225950241089,0.3715139282159862,0.08730994830448809,0.5130834230321569,0.3193548387096774,0.8469609657319475,0.32653551595219155
192,384,VNM,310,29.723838090896606,0.5148672669323597,0.11744810450176521,0.4099683251965472,0.23548387096774193,0.8040074397623236,0.3743824951052601
192,384,DEU,310,26.55991792678833,0.35139855851451646,0.08841456271722224,0.7171248991070922,0.2645161290322581,0.8296167432435709,0.3408224122591669
