country,van,raw,oracle_d,hybrid,delta_pct,hybrid_source
USA,0.3121619682543093,0.3569226490156055,0.3119248817116677,0.3119248817116677,0.0759498487171404,safe_oracle_dimension
GBR,0.3093529951966927,0.4015731475693142,0.3076573769333193,0.3076573769333193,0.5481176163480432,safe_oracle_dimension
DEU,0.2399046716359105,0.4611633358786936,0.2394458001955336,0.2394458001955336,0.19127240718067548,safe_oracle_dimension
ARG,0.4147858929186084,0.3945565997550513,0.4117176331277315,0.3945565997550513,4.877044641324529,raw_swa_dpbr
BRA,0.5311685800324027,0.5394402122499266,0.530483004489385,0.530483004489385,0.12906929528397815,safe_oracle_dimension
MEX,0.3915853192510996,0.3858881383867104,0.3892967571246117,0.3858881383867104,1.4549015461777166,raw_swa_dpbr
COL,0.4503914132203967,0.4256710054810046,0.4463078161421406,0.4256710054810046,5.488649875146554,raw_swa_dpbr
VNM,0.2788899501491743,0.361516093102211,0.2783550078762352,0.2783550078762352,0.191811240474232,safe_oracle_dimension
MMR,0.3272488844896126,0.2219003676664644,0.3223379064545205,0.2219003676664644,32.19216987934213,raw_swa_dpbr
THA,0.2649028728823197,0.2481550386835121,0.2644008444193634,0.2481550386835121,6.322254650008126,raw_swa_dpbr
MYS,0.2963480842433997,0.2127838162215936,0.293742308248714,0.2127838162215936,28.19801188698498,raw_swa_dpbr
IDN,0.2595545208494038,0.3188021611563322,0.2562806742555235,0.2562806742555235,1.2613329111612055,safe_oracle_dimension
CHN,0.4238761291645135,0.3282986386175396,0.421443550749986,0.3282986386175396,22.548448466622343,raw_swa_dpbr
JPN,0.2002786271645006,0.2011630969914797,0.1873715493685475,0.1873715493685475,6.444560749536074,safe_oracle_dimension
BGD,0.302085073969712,0.2640417291524171,0.2991827377297019,0.2640417291524171,12.593586408413307,raw_swa_dpbr
IRN,0.370166116969759,0.4434292393471098,0.369142404952761,0.369142404952761,0.27655476016504277,safe_oracle_dimension
SRB,0.2950017225207699,0.252993636767138,0.2948094709191967,0.252993636767138,14.2399459212223,raw_swa_dpbr
ROU,0.2798135910853915,0.3328799798299786,0.2797679599828618,0.2797679599828618,0.01630767910618466,safe_oracle_dimension
KGZ,0.2913232694227615,0.2587849162148148,0.2900350075987715,0.2587849162148148,11.169156954890473,raw_swa_dpbr
ETH,0.3761129564771083,0.4122387850904341,0.3693221830474403,0.3693221830474403,1.8055143575149102,safe_oracle_dimension
MEAN,0.33074763199489227,0.3411101293588665,0.3281512437664007,0.306141236487976,7.501233054780997,
