country,noise_sigma,noise_seed,van_mis,raw_mis,safe_mis,oracle_c_mis,oracle_d_mis,hybrid_mis,van_r,raw_r,safe_r,oracle_c_r,oracle_d_r,hybrid_r,van_jsd,raw_jsd,safe_jsd,oracle_c_jsd,oracle_d_jsd,hybrid_jsd,d_mis_safe,d_mis_oracle_c,d_mis_oracle_d,d_mis_hybrid,mean_alpha,safe_fallback,oracle_source,hybrid_source,n_dim_picked_safe,n_dim_total,n_scenarios
USA,0.0,42,0.3121619682543093,0.3569226490156055,0.3171619136616854,0.3121619682543093,0.3119248817116677,0.3119248817116677,0.6568367165531591,0.6066465921581093,0.6469939015015649,0.6568367165531591,0.6547228101245847,0.6547228101245847,0.077429452280557,0.0503799721655209,0.0787882596633287,0.077429452280557,0.0774284113811403,0.0774284113811403,-0.0049999454073761,0.0,0.0002370865426415,0.0002370865426415,0.1278155092268494,False,vanilla_fallback,safe_oracle_dimension,1,6,310
GBR,0.0,42,0.3093529951966927,0.4015731475693142,0.3135182384175817,0.3093529951966927,0.3076573769333193,0.3076573769333193,0.6715996808139657,0.3068757039923062,0.6662187291808789,0.6715996808139657,0.6727159367601401,0.6727159367601401,0.076043880300541,0.0700951955116068,0.0769130046801413,0.076043880300541,0.0755590922062356,0.0755590922062356,-0.004165243220889,0.0,0.0016956182633733,0.0016956182633733,0.1271055061424251,False,vanilla_fallback,safe_oracle_dimension,2,6,310
DEU,0.0,42,0.2399046716359105,0.4611633358786936,0.2525645525454022,0.2399046716359105,0.2394458001955336,0.2394458001955336,0.5561896777868256,-0.1846315304421643,0.5264986950648066,0.5561896777868256,0.5580898506393815,0.5580898506393815,0.0607497187311725,0.1085325178501194,0.0637913832122281,0.0607497187311725,0.0606518311939315,0.0606518311939315,-0.0126598809094917,0.0,0.0004588714403769,0.0004588714403769,0.1500920367947336,False,vanilla_fallback,safe_oracle_dimension,2,6,310
ARG,0.0,42,0.4147858929186084,0.3945565997550513,0.4169135476403321,0.4147858929186084,0.4117176331277315,0.3945565997550513,0.169532327336181,0.1999402229470271,0.1678235778460548,0.169532327336181,0.1786209758069254,0.1999402229470271,0.1057865524626858,0.0807017630070406,0.1066808571746881,0.1057865524626858,0.105160073024531,0.0807017630070406,-0.0021276547217236,0.0,0.0030682597908769,0.020229293163557,0.1251434035879801,False,vanilla_fallback,raw_swa_dpbr,2,6,310
BRA,0.0,42,0.5311685800324027,0.5394402122499266,0.5333823883882097,0.5311685800324027,0.530483004489385,0.530483004489385,-0.1575371388445163,-0.1967706760354686,-0.1643301897269552,-0.1575371388445163,-0.1575704068113387,-0.1575704068113387,0.1399262404915734,0.145518834221396,0.1404362544887462,0.1399262404915734,0.139680356528112,0.139680356528112,-0.0022138083558069,0.0,0.0006855755430177,0.0006855755430177,0.1487604973781671,False,vanilla_fallback,safe_oracle_dimension,1,6,310
MEX,0.0,42,0.3915853192510996,0.3858881383867104,0.3927743119642033,0.3915853192510996,0.3892967571246117,0.3858881383867104,0.3110360965397728,0.3386248758157487,0.3050693676597951,0.3110360965397728,0.3133379633989072,0.3386248758157487,0.0997492543709638,0.0679683794091331,0.100262745833695,0.0997492543709638,0.0992960055898467,0.0679683794091331,-0.0011889927131036,0.0,0.0022885621264879,0.0056971808643892,0.1244915783669845,False,vanilla_fallback,raw_swa_dpbr,3,6,310
COL,0.0,42,0.4503914132203967,0.4256710054810046,0.4494299548068616,0.4494299548068616,0.4463078161421406,0.4256710054810046,-0.0309136567005508,-0.1091429375267247,-0.0283811105528017,-0.0283811105528017,-0.0221082024911287,-0.1091429375267247,0.1138749690639735,0.0896990344449306,0.1139311858682639,0.1139311858682639,0.1130478368769693,0.0896990344449306,0.000961458413535,0.000961458413535,0.0040835970782561,0.024720407739392,0.1360796094709691,False,safe_blend,raw_swa_dpbr,2,6,310
VNM,0.0,42,0.2788899501491743,0.361516093102211,0.2889005448096596,0.2788899501491743,0.2783550078762352,0.2783550078762352,0.3097956737773653,0.1300995931012325,0.2596650298076947,0.3097956737773653,0.3115313055111622,0.3115313055111622,0.0687675996468426,0.0649647821597858,0.0699732898566845,0.0687675996468426,0.0686967730027542,0.0686967730027542,-0.0100105946604852,0.0,0.000534942272939,0.000534942272939,0.1834302562208037,False,vanilla_fallback,safe_oracle_dimension,1,6,310
MMR,0.0,42,0.3272488844896126,0.2219003676664644,0.3250418631191009,0.3250418631191009,0.3223379064545205,0.2219003676664644,0.5352492161926402,0.6934780000695854,0.5369284136241744,0.5369284136241744,0.5432937542935808,0.6934780000695854,0.0851290654412482,0.0501885909149126,0.0848253991854612,0.0848253991854612,0.0839277113119924,0.0501885909149126,0.0022070213705117,0.0022070213705117,0.0049109780350921,0.1053485168231482,0.2025851652215421,False,safe_blend,raw_swa_dpbr,2,6,310
THA,0.0,42,0.2649028728823197,0.2481550386835121,0.2681841839349064,0.2649028728823197,0.2644008444193634,0.2481550386835121,0.7414673803425111,0.4374762107587061,0.7406758814903173,0.7414673803425111,0.7436288174892495,0.4374762107587061,0.0715758616790186,0.0630887010037188,0.0725294533361602,0.0715758616790186,0.0714192995420119,0.0630887010037188,-0.0032813110525867,0.0,0.0005020284629562,0.0167478341988075,0.1781315516523954,False,vanilla_fallback,raw_swa_dpbr,2,6,310
