country,noise_sigma,n_seeds,van_mis_mean,van_mis_std,van_mis_n,raw_mis_mean,raw_mis_std,raw_mis_n,safe_mis_mean,safe_mis_std,safe_mis_n,oracle_c_mis_mean,oracle_c_mis_std,oracle_c_mis_n,oracle_d_mis_mean,oracle_d_mis_std,oracle_d_mis_n,hybrid_mis_mean,hybrid_mis_std,hybrid_mis_n
ARG,0.0,1,0.4147858929186084,0.0,1,0.3945565997550513,0.0,1,0.4169135476403321,0.0,1,0.4147858929186084,0.0,1,0.4117176331277315,0.0,1,0.3945565997550513,0.0,1
ARG,0.25,3,0.412965306667616,0.005370923345065552,3,0.3958367731288383,0.001016547150497167,3,0.41642712669261117,0.0056338007189889,3,0.412965306667616,0.005370923345065552,3,0.4107771156284361,0.005176244821367445,3,0.3958367731288383,0.001016547150497167,3
ARG,0.5,3,0.4103305093221355,0.010488616376612962,3,0.3984899048600128,0.004082986041189203,3,0.41250378107374147,0.007442721011971106,3,0.4097556393218767,0.0095054459116668,3,0.4085925088593845,0.009684915461478358,3,0.3984899048600128,0.004082986041189203,3
ARG,1.0,3,0.4028638530761672,0.02027248931469266,3,0.40197931909073037,0.0062755358224082436,3,0.40221933314228075,0.02073142301587553,3,0.4017304437927607,0.0209920930583256,3,0.3985267189380764,0.020511634259626856,3,0.39408080948784335,0.012871429578024054,3
ARG,2.0,3,0.3854145323659029,0.040292915471154524,3,0.40808899128546217,0.009246414101123424,3,0.38169237706663806,0.03785146485979384,3,0.3809757677448002,0.038406309473386045,3,0.38022816512324553,0.039022988958147944,3,0.3780483141160676,0.03524836841751447,3
BGD,0.0,1,0.302085073969712,0.0,1,0.2640417291524171,0.0,1,0.3023442912399535,0.0,1,0.302085073969712,0.0,1,0.2991827377297019,0.0,1,0.2640417291524171,0.0,1
BGD,0.25,3,0.3027724977322844,0.006693192887407866,3,0.26659283016719143,0.002193896100807891,3,0.30468034453127496,0.0061416953059466334,3,0.3027724977322844,0.006693192887407866,3,0.3019349482190536,0.006423752395892751,3,0.26659283016719143,0.002193896100807891,3
BGD,0.5,3,0.30313201354313585,0.013246453417325377,3,0.2670044268203784,0.004546437212087279,3,0.3041130001624846,0.013953598013606823,3,0.30281684655242297,0.013678862704027586,3,0.30137611388946084,0.013464665195722045,3,0.2670044268203784,0.004546437212087279,3
BGD,1.0,3,0.3035919522693457,0.025074176761132126,3,0.26291533313051657,0.010546176112835802,3,0.30267506981832043,0.024061811256571943,3,0.30192286239351585,0.024254408942763605,3,0.30018741581008723,0.02381658027663014,3,0.26291533313051657,0.010546176112835802,3
BGD,2.0,3,0.3040581787957173,0.03982991997412648,3,0.25482216810886205,0.02225699772667184,3,0.3042988844039553,0.0387718056039517,3,0.3036066687238252,0.03930744202246716,3,0.30274141842370456,0.03908688261943361,3,0.25482216810886205,0.02225699772667184,3
BRA,0.0,1,0.5311685800324027,0.0,1,0.5394402122499266,0.0,1,0.5333823883882097,0.0,1,0.5311685800324027,0.0,1,0.530483004489385,0.0,1,0.530483004489385,0.0,1
BRA,0.25,3,0.5305683676452096,0.002101738791955932,3,0.537578264508536,0.0008260195593049146,3,0.5346493750874816,0.0027764196568521938,3,0.5305683676452096,0.002101738791955932,3,0.5302115157941132,0.0018753023718136757,3,0.5302115157941132,0.0018753023718136757,3
BRA,0.5,3,0.5290620409928924,0.004029632152252508,3,0.5346500025383291,0.0005038008545057694,3,0.5324508542927919,0.005618386161095205,3,0.5290620409928924,0.004029632152252508,3,0.5281709933847106,0.0035721227620994834,3,0.5281709933847106,0.0035721227620994834,3
BRA,1.0,3,0.524245765502569,0.0073052416879612215,3,0.5268181500228768,0.001119577765543363,3,0.5263906412294788,0.007884333651540254,3,0.524245765502569,0.0073052416879612215,3,0.5235189331713715,0.007533213117759244,3,0.5225573662609709,0.006422132863341074,3
BRA,2.0,3,0.5103908681002304,0.019716037161808374,3,0.5133194061111809,0.004229458620963888,3,0.510236248720826,0.021641579162773834,3,0.5096428889032948,0.020754614496183665,3,0.5089474680836893,0.020988974649258238,3,0.5019423726627568,0.01199409420372417,3
CHN,0.0,1,0.4238761291645135,0.0,1,0.3282986386175396,0.0,1,0.4255673455258905,0.0,1,0.4238761291645135,0.0,1,0.421443550749986,0.0,1,0.3282986386175396,0.0,1
CHN,0.25,3,0.4240920257232821,0.0026149758041819613,3,0.3285254159435584,0.001358695312182036,3,0.42491842377081995,0.003128988419099188,3,0.4240920257232821,0.0026149758041819613,3,0.42046022144744216,0.0031387323643379864,3,0.3285254159435584,0.001358695312182036,3
CHN,0.5,3,0.4226060950262382,0.005261711355027351,3,0.3285566337379177,0.003211707712244375,3,0.42365543863761485,0.006291898580691977,3,0.4225511826285219,0.005356247338949411,3,0.4187253662983885,0.005220284758027332,3,0.3285566337379177,0.003211707712244375,3
CHN,1.0,3,0.41542573395241184,0.010847678573608148,3,0.32835183774795096,0.005384986587128912,3,0.4155292154747112,0.011740252553519582,3,0.4150953037466891,0.011410513103223094,3,0.4125955679295609,0.010799462864914218,3,0.32835183774795096,0.005384986587128912,3
CHN,2.0,3,0.39013249708265224,0.02141077726810472,3,0.32252427295768965,0.01050756560685982,3,0.390792857617756,0.020665286522409173,3,0.3897506068413608,0.02098173545439668,3,0.3887214830425636,0.02100732883608358,3,0.32252427295768965,0.01050756560685982,3
COL,0.0,1,0.4503914132203967,0.0,1,0.4256710054810046,0.0,1,0.4494299548068616,0.0,1,0.4494299548068616,0.0,1,0.4463078161421406,0.0,1,0.4256710054810046,0.0,1
COL,0.25,3,0.44894644242157256,0.00474185223843286,3,0.4273076151664366,0.004021425946221688,3,0.4455496850088214,0.007715968174000308,3,0.44531539517937574,0.007310446141134919,3,0.44264158879050197,0.006247811036967127,3,0.4273076151664366,0.004021425946221688,3
COL,0.5,3,0.44600748691872644,0.009360489036778743,3,0.4293469472949211,0.007009087641679048,3,0.44153327111233515,0.010868247962374195,3,0.44153327111233515,0.010868247962374195,3,0.43949142208699704,0.010080556159585235,3,0.4293469472949211,0.007009087641679048,3
COL,1.0,3,0.4369501621284982,0.017867012333115932,3,0.43287012858994145,0.01210771437837676,3,0.43677525380494364,0.015070846108125757,3,0.4356687124570164,0.016671842026406095,3,0.4342225006288392,0.016613708355940948,3,0.4249505702196381,0.008429700555351291,3
COL,2.0,3,0.4157142092593875,0.03061605932768445,3,0.43655088918594925,0.01842402702998992,3,0.415472417448594,0.03070385237460583,3,0.415472417448594,0.03070385237460583,3,0.4137895504749188,0.030432640026378806,3,0.4064325927877301,0.021000920343176754,3
DEU,0.0,1,0.2399046716359105,0.0,1,0.4611633358786936,0.0,1,0.2525645525454022,0.0,1,0.2399046716359105,0.0,1,0.2394458001955336,0.0,1,0.2394458001955336,0.0,1
DEU,0.25,3,0.23850068806844302,0.005933996877705524,3,0.45898757160473697,0.002384193131608555,3,0.24923831894337944,0.006631954139617314,3,0.23850068806844302,0.005933996877705524,3,0.2379758622593088,0.006036293050983515,3,0.2379758622593088,0.006036293050983515,3
DEU,0.5,3,0.2367274329551703,0.01122159190948083,3,0.4534608648799547,0.006762890947776793,3,0.24756671227048335,0.014858016479722801,3,0.2367274329551703,0.01122159190948083,3,0.2362503306308452,0.011022157042057659,3,0.2362503306308452,0.011022157042057659,3
DEU,1.0,3,0.23273817709102454,0.019763778700251127,3,0.43961802507061454,0.013465941155012809,3,0.2408527445113874,0.016123223270172318,3,0.23273817709102454,0.019763778700251127,3,0.23096097627859816,0.018109054008755444,3,0.23096097627859816,0.018109054008755444,3
DEU,2.0,3,0.22880666887882606,0.039874335606427544,3,0.4202615601410242,0.024059406452150146,3,0.23167815819439366,0.03982445428679908,3,0.22880666887882606,0.039874335606427544,3,0.22796092275124843,0.039698859606430964,3,0.22796092275124843,0.039698859606430964,3
