ablation,country,n_scenarios,jsd,pearson_r,spearman_rho,mae,rmse,mis,cosine_sim,n_criteria,flip_rate,mean_reliability_r,std_reliability_r,mean_bootstrap_var,std_bootstrap_var,mean_ess_pass1,mean_ess_pass2,mean_ess_anchor_alpha,mean_positional_bias,std_positional_bias,mean_delta_consensus,mean_delta_opt,mean_delta_opt_micro,std_delta_opt_micro,final_delta_country,final_alpha_h,prior_steps,util_slope_hat,util_slope_se,util_n_obs,elapsed_sec,model_Species_Humans,human_Species_Humans,model_Gender_Female,human_Gender_Female,model_Age_Young,human_Age_Young,model_Fitness_Fit,human_Fitness_Fit,model_SocialValue_High,human_SocialValue_High,model_Utilitarianism_More,human_Utilitarianism_More,abserr_Age_Young,signerr_Age_Young,abserr_Fitness_Fit,signerr_Fitness_Fit,abserr_Gender_Female,signerr_Gender_Female,abserr_SocialValue_High,signerr_SocialValue_High,abserr_Species_Humans,signerr_Species_Humans,abserr_Utilitarianism_More,signerr_Utilitarianism_More,seed
Full SWA-DPBR,USA,310,0.055039197776799616,0.19023180666928485,0.14285714285714288,18.83180068708859,20.78581795641041,0.509146478795857,0.19023180666928485,6,0.5193548387096775,0.9953267512476215,0.006548660761121556,0.0001882402605634423,0.0002652754354687863,0.31522089329458053,0.3156844315509642,0.2905901362819056,0.743334791544945,0.24477104096182847,-6.46352767944336e-05,,0.0006579337070786184,0.009122578071294412,0.0005004844797861247,0.9279215377612339,313,0.001059198432897217,0.0005523492711286245,20,0.6051194667816162,50.016766205104034,79.20219438265315,50.01338058636012,56.0298882980414,50.00783157264165,74.5377281560045,49.98395916160128,58.8095535738558,50.04672487929398,67.9307274803549,50.00304686336443,76.5524214999873,24.529896583362856,-24.529896583362856,8.825594412254524,-8.825594412254524,6.016507711681278,-6.016507711681278,17.88400260106092,-17.88400260106092,29.185428177549113,-29.185428177549113,26.549374636622872,-26.549374636622872,42
No-IS (consensus only),USA,310,0.05512112795219663,-0.3166967016363788,-0.14285714285714288,18.835228548861352,20.792978896471837,0.5093218852881485,-0.31669670163637886,6,0.1774193548387097,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.743334791544945,0.24477104096182847,-6.46352767944336e-05,,-6.46352767944336e-05,0.003355917704794055,-0.0006741868559289817,0.9279215377612339,313,-0.00015720351001232913,0.0002496473823473057,20,0.3287804126739502,50.017595371589586,79.20219438265315,50.009259185423936,56.0298882980414,50.0167596646005,74.5377281560045,50.02019960802995,58.8095535738558,50.02040658525153,67.9307274803549,49.966921682833465,76.5524214999873,24.520968491404005,-24.520968491404005,8.789353965825853,-8.789353965825853,6.020629112617463,-6.020629112617463,17.910320895103375,-17.910320895103375,29.18459901106356,-29.18459901106356,26.58549981715384,-26.58549981715384,42
Always-on PT-IS,USA,310,0.05523570701050559,-0.3529938229442423,-0.2571428571428572,18.864663564876448,20.82572015455225,0.5101238790464863,-0.35299382294424225,6,0.43870967741935485,1.0,0.0,0.0002101105715430791,0.0003266707558902966,0.3212862966041411,0.3168287794436178,0.29540574473719444,0.743334791544945,0.24477104096182847,-6.46352767944336e-05,,0.0004346808707792192,0.009095245998577051,0.0013685876943884622,0.9279215377612339,313,-8.115077110039456e-05,0.0007453014934191693,20,0.514054536819458,49.86667888978219,79.20219438265315,49.96188600327405,56.0298882980414,50.01869543414211,74.5377281560045,50.00538215408867,58.8095535738558,50.045923463837426,67.9307274803549,49.97596605651392,76.5524214999873,24.519032721862395,-24.519032721862395,8.80417141976713,-8.80417141976713,6.068002294767346,-6.068002294767346,17.884804016517478,-17.884804016517478,29.335515492870954,-29.335515492870954,26.576455443473385,-26.576455443473385,42
No debiasing,USA,310,0.05047962964378358,0.5767302293203385,0.942857142857143,18.338762361432824,20.096903013074655,0.49227157792234705,0.5767302293203386,6,0.0,0.9846008870575328,0.019780058998219635,0.0006290473789608449,0.0008219507690198412,0.7271919033219737,0.7263626679297417,0.7081946732536439,0.0,0.0,1.865771766439561,,1.5484412327889474,0.52275817847324,1.4882303880301495,0.9279215377612339,313,-0.0013980982179917945,0.10992666068460118,20,0.49349379539489746,52.94118027802159,79.20219438265315,49.985120569177425,56.0298882980414,50.03198141429527,74.5377281560045,49.8947682620846,58.8095535738558,49.99693466943792,67.9307274803549,50.17995402928332,76.5524214999873,24.50574674170924,-24.50574674170924,8.914785311771205,-8.914785311771205,6.044767728863974,-6.044767728863974,17.933792810916984,-17.933792810916984,26.261014104631556,-26.261014104631556,26.37246747070398,-26.37246747070398,42
Without persona,USA,310,0.05514879909265637,-0.35277597096310936,-0.2571428571428572,18.830109935318745,20.78966048521462,0.5092406011447795,-0.35277597096310925,6,0.2967741935483871,0.995114582813791,0.00774160207727422,0.0001971286683587975,0.00031631945767214873,0.31870829424550456,0.31435949057340623,0.29175533830158173,0.743334791544945,0.24477104096182847,0.0012039766676964299,,0.001418089357133384,0.01127140215456453,0.0020584632264956312,0.9279215377612339,313,0.0003743956828403802,0.0007935072834594869,20,0.5075767040252686,50.02747905883949,79.20219438265315,50.02346020417507,56.0298882980414,49.957601592851915,74.5377281560045,50.02898030750216,58.8095535738558,50.031817948337334,67.9307274803549,50.012514667278616,76.5524214999873,24.58012656315259,-24.58012656315259,8.780573266353642,-8.780573266353642,6.006428093866326,-6.006428093866326,17.89890953201757,-17.89890953201757,29.174715323813658,-29.174715323813658,26.539906832708688,-26.539906832708688,42
No country prior (a_h=0),USA,310,0.05553684090340501,-0.7787971225258081,-0.8857142857142858,18.85558668613974,20.83234780124253,0.5102862225723527,-0.7787971225258078,6,0.46774193548387094,0.9941379124953131,0.008920709536240086,0.0002368155224801515,0.00036511633096692793,0.31503263226439876,0.31680056044170934,0.2931556879032043,0.743334791544945,0.24477104096182847,-6.46352767944336e-05,,0.0002755133735556756,0.008771583680758888,0.0,0.0,0,0.0015447825193405464,0.0007012231880250717,20,0.5124115943908691,49.866914600133896,79.20219438265315,50.014617655958446,56.0298882980414,49.987542728583016,74.5377281560045,50.10841031869252,58.8095535738558,49.97902013361454,67.9307274803549,49.97248783707619,76.5524214999873,24.55018542742149,-24.55018542742149,8.70114325516328,-8.70114325516328,6.015270642082953,-6.015270642082953,17.951707346740363,-17.951707346740363,29.33527978251925,-29.33527978251925,26.579933662911117,-26.579933662911117,42
No-IS (consensus only) + Always-on PT-IS,USA,310,0.05512112795219663,-0.3166967016363788,-0.14285714285714288,18.835228548861352,20.792978896471837,0.5093218852881485,-0.31669670163637886,6,0.1774193548387097,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.743334791544945,0.24477104096182847,-6.46352767944336e-05,,-6.46352767944336e-05,0.003355917704794055,-0.0006741868559289817,0.9279215377612339,313,-0.00015720351001232913,0.0002496473823473057,20,0.31953859329223633,50.017595371589586,79.20219438265315,50.009259185423936,56.0298882980414,50.0167596646005,74.5377281560045,50.02019960802995,58.8095535738558,50.02040658525153,67.9307274803549,49.966921682833465,76.5524214999873,24.520968491404005,-24.520968491404005,8.789353965825853,-8.789353965825853,6.020629112617463,-6.020629112617463,17.910320895103375,-17.910320895103375,29.18459901106356,-29.18459901106356,26.58549981715384,-26.58549981715384,42
No-IS (consensus only) + No debiasing,USA,310,0.051340456277984246,0.5606802114673818,0.8285714285714287,18.434850045768098,20.230773349508276,0.495550718081918,0.5606802114673817,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.865771766439561,,1.865771766439561,0.5962774908838305,1.7993235596874255,0.9279215377612339,313,-0.0009528488434328214,0.1137825379907383,20,0.30361437797546387,52.40792687911997,79.20219438265315,49.999281351235396,56.0298882980414,50.03114151485034,74.5377281560045,49.93984210296695,58.8095535738558,49.976914121160156,67.9307274803549,50.09830714695567,76.5524214999873,24.506586641154165,-24.506586641154165,8.869711470888852,-8.869711470888852,6.030606946806003,-6.030606946806003,17.953813359194747,-17.953813359194747,26.794267503533177,-26.794267503533177,26.454114353031635,-26.454114353031635,42
No-IS (consensus only) + Without persona,USA,310,0.055153306495556775,-0.5094134845077801,-0.5428571428571429,18.84150850454663,20.800297523921536,0.5095011543168413,-0.5094134845077799,6,0.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.743334791544945,0.24477104096182847,0.0012039766676964299,,0.0012039766676964299,0.008449011357060483,0.0029395907718557292,0.9279215377612339,313,0.0005555056267296285,0.0006204096014767126,20,0.3185572624206543,50.003719686922246,79.20219438265315,50.003791035296274,56.0298882980414,49.97718330752213,74.5377281560045,50.01915705269281,58.8095535738558,50.03044786354318,67.9307274803549,49.979163417640635,76.5524214999873,24.560544848482373,-24.560544848482373,8.79039652116299,-8.79039652116299,6.026097262745125,-6.026097262745125,17.900279616811723,-17.900279616811723,29.1984746957309,-29.1984746957309,26.57325808234667,-26.57325808234667,42
No-IS (consensus only) + No country prior (a_h=0),USA,310,0.05514693699588966,-0.2670541377683055,0.2,18.83081896970973,20.790313906681398,0.5092566066365853,-0.26705413776830556,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.743334791544945,0.24477104096182847,-6.46352767944336e-05,,-6.46352767944336e-05,0.003355917704794055,0.0,0.0,0,-0.0003173694014548965,0.00046607937823166316,20,0.32776618003845215,50.027770847082145,79.20219438265315,50.01544564962387,56.0298882980414,50.02658372124036,74.5377281560045,50.021429558595024,58.8095535738558,50.04659045487643,67.9307274803549,49.939779341220856,76.5524214999873,24.511144434764148,-24.511144434764148,8.788124015260777,-8.788124015260777,6.014442648417528,-6.014442648417528,17.884137025478474,-17.884137025478474,29.174423535571,-29.174423535571,26.612642158766448,-26.612642158766448,42
