index,country,ablation,delta_jsd_vs_full_mean,delta_jsd_vs_full_std,delta_pearson_r_vs_full_mean,delta_pearson_r_vs_full_std,delta_spearman_rho_vs_full_mean,delta_spearman_rho_vs_full_std,delta_mae_vs_full_mean,delta_mae_vs_full_std,delta_rmse_vs_full_mean,delta_rmse_vs_full_std,delta_mis_vs_full_mean,delta_mis_vs_full_std,jsd_wins,n_seeds
0,ARG,Always-on PT-IS,-0.0001970633792016535,,0.6098618850128924,,0.34285714285714286,,-0.03886975323537811,,-0.04494458229645204,,-0.001100912933288345,,1,1
1,ARG,Always-on PT-IS + No country prior (a_h=0),-7.089382461990257e-05,,0.2928854614834008,,0.34285714285714286,,-0.031087453282271582,,-0.03191457428068745,,-0.000781744223458336,,1,1
2,ARG,Always-on PT-IS + No debiasing,4.9647848236508696e-05,,0.4429087654781526,,0.17142857142857149,,-0.04211167885483391,,-0.03691614209406069,,-0.0009042571140253086,,0,1
3,ARG,Always-on PT-IS + No debiasing + No country prior (a_h=0),-0.0012638031909631767,,1.1307251701198306,,0.7428571428571429,,-0.08266368531728219,,-0.13593902717472162,,-0.003329812527084086,,1,1
4,ARG,Always-on PT-IS + No debiasing + Without persona,-0.0005770681859324223,,0.9018260578060953,,0.7428571428571429,,-0.07315035849407181,,-0.09461773762546244,,-0.0023176517779892603,,1,1
5,ARG,Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),-0.0014478981975822869,,1.0916020523675236,,0.7428571428571429,,0.00402174233944308,,-0.06555845719012865,,-0.0016058476843990865,,1,1
6,ARG,Always-on PT-IS + Without persona,-0.000210802336123396,,0.6026622844501215,,0.6285714285714287,,-0.031966352421871846,,-0.03903194955490008,,-0.0009560836007556084,,1,1
7,ARG,Always-on PT-IS + Without persona + No country prior (a_h=0),0.00024004195076079982,,-0.0776043419895186,,-0.11428571428571421,,-0.017240889545202975,,-0.004742919907418042,,-0.00011617733664059937,,0,1
8,ARG,Full SWA-DPBR,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,1
9,ARG,No country prior (a_h=0),-0.0002524736424683663,,0.7543964369939139,,0.6285714285714287,,-0.019082063126393933,,-0.0293269256352211,,-0.0007183600353083963,,1,1
10,ARG,No debiasing,-0.00040861706608222303,,0.883267498281317,,0.5714285714285715,,-0.06550689737323268,,-0.07939952078726975,,-0.0019448831175031822,,1,1
11,ARG,No debiasing + No country prior (a_h=0),-0.0005256160989742242,,0.9045852118899079,,0.6285714285714287,,-0.05345119523833475,,-0.07427626043445201,,-0.001819389380664782,,1,1
