country,method,phenomenon_category,preferred_on_right,p_spare_preferred,bias_a,bias_b,n_left,n_right
JPN,swai,Fitness,0,0.9999982977499258,36.21794509887695,-36.21794509887695,3,3
JPN,swai,Species,0,1.0,36.21794509887695,-36.21794509887695,3,3
JPN,swai,SocialValue,0,0.9999971653037392,36.21794509887695,-36.21794509887695,3,3
JPN,swai,SocialValue,0,0.9999975991740939,36.21794509887695,-36.21794509887695,3,3
JPN,swai,SocialValue,0,0.9999968561619426,36.21794509887695,-36.21794509887695,5,5
JPN,swai,SocialValue,1,3.2490083867742214e-06,36.21794509887695,-36.21794509887695,2,2
JPN,swai,SocialValue,0,1.0,36.21794509887695,-36.21794509887695,3,3
JPN,swai,Age,0,1.0,36.21794509887695,-36.21794509887695,1,1
JPN,swai,Fitness,1,2.4387450139329303e-06,36.21794509887695,-36.21794509887695,3,3
JPN,swai,SocialValue,0,1.0,36.21794509887695,-36.21794509887695,4,4
JPN,swai,SocialValue,0,1.0,36.21794509887695,-36.21794509887695,2,2
JPN,swai,Gender,1,7.4516765380394645e-06,36.21794509887695,-36.21794509887695,5,5
JPN,swai,Utilitarianism,1,8.475165486743208e-06,36.21794509887695,-36.21794509887695,4,5
JPN,swai,Utilitarianism,0,1.0,36.21794509887695,-36.21794509887695,4,1
JPN,swai,Fitness,0,0.9999981110456702,36.21794509887695,-36.21794509887695,4,4
JPN,swai,Utilitarianism,1,0.0,36.21794509887695,-36.21794509887695,2,5
JPN,swai,Species,0,1.0,36.21794509887695,-36.21794509887695,4,4
JPN,swai,Gender,1,2.748294491539127e-06,36.21794509887695,-36.21794509887695,3,3
JPN,swai,Gender,0,0.9999960107747938,36.21794509887695,-36.21794509887695,1,1
JPN,swai,Gender,0,0.9999982138340329,36.21794509887695,-36.21794509887695,4,4
JPN,swai,SocialValue,0,0.9999874858149269,36.21794509887695,-36.21794509887695,1,1
JPN,swai,Gender,0,0.9999978308230766,36.21794509887695,-36.21794509887695,3,3
JPN,swai,Gender,1,3.868629391945433e-06,36.21794509887695,-36.21794509887695,5,5
JPN,swai,Age,0,0.9999923158884485,36.21794509887695,-36.21794509887695,4,4
JPN,swai,SocialValue,0,1.0,36.21794509887695,-36.21794509887695,1,1
JPN,swai,Age,1,1.2439864804036915e-05,36.21794509887695,-36.21794509887695,3,3
JPN,swai,Gender,1,5.064004199084593e-06,36.21794509887695,-36.21794509887695,3,3
JPN,swai,SocialValue,1,1.6232702364504803e-06,36.21794509887695,-36.21794509887695,5,5
JPN,swai,Fitness,0,0.9999982851938967,36.21794509887695,-36.21794509887695,4,4
JPN,swai,Fitness,0,0.9999847841654628,36.21794509887695,-36.21794509887695,2,2
JPN,swai,Gender,0,0.999998389039547,36.21794509887695,-36.21794509887695,5,5
JPN,swai,Species,0,1.0,36.21794509887695,-36.21794509887695,1,1
JPN,swai,SocialValue,0,1.0,36.21794509887695,-36.21794509887695,2,2
JPN,swai,Fitness,0,0.999995227893578,36.21794509887695,-36.21794509887695,3,3
JPN,swai,SocialValue,1,0.0,36.21794509887695,-36.21794509887695,4,4
JPN,swai,Gender,1,9.832757314143237e-06,36.21794509887695,-36.21794509887695,1,1
