country,method,phenomenon_category,preferred_on_right,p_spare_preferred,bias_a,bias_b,n_left,n_right
BGD,swai,Fitness,0,1.0,34.76996612548828,-34.76996612548828,3,3
BGD,swai,Species,0,0.0009351372718811035,34.76996612548828,-34.76996612548828,3,3
BGD,swai,SocialValue,0,1.0,34.76996612548828,-34.76996612548828,3,3
BGD,swai,SocialValue,0,1.0,34.76996612548828,-34.76996612548828,3,3
BGD,swai,SocialValue,0,1.0,34.76996612548828,-34.76996612548828,5,5
BGD,swai,SocialValue,1,0.0,34.76996612548828,-34.76996612548828,2,2
BGD,swai,SocialValue,0,1.0,34.76996612548828,-34.76996612548828,3,3
BGD,swai,Age,0,1.0,34.76996612548828,-34.76996612548828,1,1
BGD,swai,Fitness,1,0.0,34.76996612548828,-34.76996612548828,3,3
BGD,swai,SocialValue,0,1.0,34.76996612548828,-34.76996612548828,4,4
BGD,swai,SocialValue,0,1.0,34.76996612548828,-34.76996612548828,2,2
BGD,swai,Gender,1,0.0,34.76996612548828,-34.76996612548828,5,5
BGD,swai,Utilitarianism,1,0.9999966621398926,34.76996612548828,-34.76996612548828,4,5
BGD,swai,Utilitarianism,0,0.0013899803161621094,34.76996612548828,-34.76996612548828,4,1
BGD,swai,Fitness,0,1.0,34.76996612548828,-34.76996612548828,4,4
BGD,swai,Utilitarianism,1,0.9999978542327881,34.76996612548828,-34.76996612548828,2,5
BGD,swai,Species,0,0.0017256736755371094,34.76996612548828,-34.76996612548828,4,4
BGD,swai,Gender,1,0.0,34.76996612548828,-34.76996612548828,3,3
BGD,swai,Gender,0,1.0,34.76996612548828,-34.76996612548828,1,1
BGD,swai,Gender,0,1.0,34.76996612548828,-34.76996612548828,4,4
BGD,swai,SocialValue,0,1.0,34.76996612548828,-34.76996612548828,1,1
BGD,swai,Gender,0,1.0,34.76996612548828,-34.76996612548828,3,3
BGD,swai,Gender,1,0.0,34.76996612548828,-34.76996612548828,5,5
BGD,swai,Age,0,1.0,34.76996612548828,-34.76996612548828,4,4
BGD,swai,SocialValue,0,1.0,34.76996612548828,-34.76996612548828,1,1
BGD,swai,Age,1,0.0,34.76996612548828,-34.76996612548828,3,3
