wvs_feat,amce_dim,pearson_r,pearson_p,spearman_rho,spearman_p,n
religiosity,Species_Humans,-0.05,0.834,-0.22,0.352,20
religiosity,Gender_Female,0.053,0.825,-0.078,0.743,20
religiosity,Age_Young,-0.157,0.509,-0.126,0.596,20
religiosity,Fitness_Fit,0.084,0.726,-0.024,0.92,20
religiosity,SocialValue_High,0.251,0.286,0.295,0.207,20
religiosity,Utilitarianism_More,0.329,0.156,0.135,0.569,20
child_rearing,Species_Humans,-0.134,0.573,-0.245,0.298,20
child_rearing,Gender_Female,0.146,0.538,0.137,0.565,20
child_rearing,Age_Young,0.249,0.29,0.265,0.259,20
child_rearing,Fitness_Fit,-0.048,0.841,-0.098,0.682,20
child_rearing,SocialValue_High,0.054,0.822,0.029,0.905,20
child_rearing,Utilitarianism_More,0.277,0.238,0.227,0.336,20
moral_acceptability,Species_Humans,-0.486,0.03,-0.586,0.007,20
moral_acceptability,Gender_Female,0.163,0.493,0.281,0.23,20
moral_acceptability,Age_Young,0.469,0.037,0.433,0.056,20
moral_acceptability,Fitness_Fit,-0.018,0.939,0.161,0.498,20
moral_acceptability,SocialValue_High,0.185,0.434,0.141,0.552,20
moral_acceptability,Utilitarianism_More,-0.009,0.969,0.078,0.743,20
social_trust,Species_Humans,0.353,0.127,0.469,0.037,20
social_trust,Gender_Female,-0.193,0.414,-0.253,0.283,20
social_trust,Age_Young,-0.156,0.511,-0.224,0.342,20
social_trust,Fitness_Fit,-0.122,0.61,-0.138,0.561,20
social_trust,SocialValue_High,-0.445,0.05,-0.513,0.021,20
social_trust,Utilitarianism_More,-0.244,0.3,-0.063,0.791,20
political_participation,Species_Humans,-0.023,0.925,-0.065,0.787,20
political_participation,Gender_Female,-0.23,0.329,-0.176,0.458,20
political_participation,Age_Young,0.194,0.412,0.099,0.677,20
political_participation,Fitness_Fit,-0.229,0.332,-0.2,0.398,20
political_participation,SocialValue_High,-0.471,0.036,-0.538,0.014,20
political_participation,Utilitarianism_More,-0.24,0.309,-0.044,0.855,20
national_pride,Species_Humans,0.169,0.475,0.036,0.88,20
national_pride,Gender_Female,0.005,0.983,-0.11,0.645,20
national_pride,Age_Young,-0.137,0.564,0.014,0.955,20
national_pride,Fitness_Fit,0.176,0.457,0.063,0.791,20
national_pride,SocialValue_High,0.389,0.09,0.38,0.098,20
national_pride,Utilitarianism_More,0.283,0.226,0.254,0.28,20
happiness,Species_Humans,-0.295,0.207,-0.398,0.082,20
happiness,Gender_Female,0.502,0.024,0.562,0.01,20
happiness,Age_Young,0.065,0.787,0.173,0.466,20
happiness,Fitness_Fit,-0.02,0.935,0.041,0.865,20
happiness,SocialValue_High,0.46,0.041,0.553,0.011,20
happiness,Utilitarianism_More,-0.027,0.909,0.029,0.905,20
gender_equality,Species_Humans,0.025,0.916,-0.06,0.801,20
gender_equality,Gender_Female,-0.294,0.209,-0.262,0.265,20
gender_equality,Age_Young,-0.2,0.398,-0.362,0.116,20
gender_equality,Fitness_Fit,-0.403,0.078,-0.481,0.032,20
gender_equality,SocialValue_High,-0.048,0.841,0.044,0.855,20
gender_equality,Utilitarianism_More,-0.152,0.521,-0.382,0.097,20
materialism_orientation,Species_Humans,-0.029,0.904,0.132,0.578,20
materialism_orientation,Gender_Female,-0.037,0.877,-0.099,0.677,20
materialism_orientation,Age_Young,0.276,0.239,0.371,0.107,20
materialism_orientation,Fitness_Fit,0.083,0.728,0.217,0.359,20
materialism_orientation,SocialValue_High,-0.07,0.769,-0.045,0.85,20
materialism_orientation,Utilitarianism_More,0.441,0.052,0.508,0.022,20
tolerance_diversity,Species_Humans,0.152,0.523,0.101,0.673,20
tolerance_diversity,Gender_Female,-0.366,0.113,-0.489,0.029,20
tolerance_diversity,Age_Young,-0.144,0.543,-0.224,0.342,20
tolerance_diversity,Fitness_Fit,-0.262,0.265,-0.28,0.232,20
tolerance_diversity,SocialValue_High,-0.161,0.497,-0.122,0.609,20
tolerance_diversity,Utilitarianism_More,-0.054,0.822,-0.209,0.376,20
