method,country,n_scenarios,elapsed_sec,mis,jsd,pearson_r
prompt_B1,USA,310,7.931408166885376,0.48362398372452453,0.06127141555378252,0.4963529715148857
prompt_B1,GBR,310,7.210165023803711,0.5176070643210574,0.047913326615588794,0.6354655156125864
prompt_B1,DEU,310,7.5691235065460205,0.44056726979663297,0.06919431741925317,0.31893539128099085
prompt_B1,ARG,310,7.305388450622559,0.507302629936531,0.08345574668979458,-0.09276278378983456
prompt_B1,BRA,310,7.264695167541504,0.34215945592080277,0.07418681095138807,0.38890699454899913
prompt_B1,MEX,310,7.233291387557983,0.5296525624044487,0.08470704700069932,-0.1248338195639277
prompt_B1,COL,310,7.24804162979126,0.5231076409602997,0.06688305692425486,-0.00167112474643577
prompt_B1,VNM,310,7.6915857791900635,0.3913572125906667,0.04501219031019478,0.5239362809414688
prompt_B1,MMR,310,7.2562949657440186,0.42744376967428843,0.08705140069763798,-0.08826192311101183
prompt_B1,THA,310,7.230638265609741,0.42425430289309635,0.03565670448246709,0.8793102472262984
prompt_B1,MYS,310,7.187787294387817,0.44820629916798166,0.04189829287132869,0.6367536338301885
prompt_B1,IDN,310,7.2846808433532715,0.4610622380518284,0.05103166394023119,
prompt_B1,CHN,310,7.297692775726318,0.3220671524004821,0.06368430918400707,0.5132375707405549
prompt_B1,JPN,310,7.494807004928589,0.346972424870993,0.0911864781840912,0.7121260520304497
prompt_B1,BGD,310,7.29330849647522,0.46388736464581665,0.045900142880112876,0.605442391109845
prompt_B1,IRN,310,7.568004608154297,0.4403937895737632,0.09469167193705505,0.479352633563564
prompt_B1,SRB,310,7.288240909576416,0.4880559151730523,0.051702744011754856,0.5486844234544066
prompt_B1,ROU,310,7.280733108520508,0.48549075745140957,0.04482367238635087,0.6488723959572966
prompt_B1,KGZ,310,7.324880838394165,0.44338272286131586,0.058524551549589424,0.4760498942819804
prompt_B1,ETH,310,7.226705551147461,0.6035319153326826,0.07533177723438773,0.20930520107545483
prompt_B2,USA,310,7.382467269897461,0.44291179904879013,0.0860176030954357,0.3916613833074041
prompt_B2,GBR,310,7.3813700675964355,0.5176070643210574,0.047913326615588794,0.6354655156125864
prompt_B2,DEU,310,7.233915328979492,0.44056726979663297,0.06919431741925317,0.31893539128099085
prompt_B2,ARG,310,7.379810333251953,0.507302629936531,0.08345574668979458,-0.09276278378983456
prompt_B2,BRA,310,7.505215644836426,0.34215945592080277,0.07418681095138807,0.38890699454899913
prompt_B2,MEX,310,7.32284951210022,0.5296525624044487,0.08470704700069932,-0.1248338195639277
prompt_B2,COL,310,7.2055253982543945,0.5231076409602997,0.06688305692425486,-0.00167112474643577
prompt_B2,VNM,310,7.41511082649231,0.3913572125906667,0.04501219031019478,0.5239362809414688
prompt_B2,MMR,310,7.418677091598511,0.42744376967428843,0.08705140069763798,-0.08826192311101183
prompt_B2,THA,310,7.28233528137207,0.42425430289309635,0.03565670448246709,0.8793102472262984
prompt_B2,MYS,310,7.332025766372681,0.44820629916798166,0.04189829287132869,0.6367536338301885
prompt_B2,IDN,310,7.17957067489624,0.4610622380518284,0.05103166394023119,
prompt_B2,CHN,310,7.157507658004761,0.3220671524004821,0.06368430918400707,0.5132375707405549
prompt_B2,JPN,310,7.378235816955566,0.346972424870993,0.0911864781840912,0.7121260520304497
prompt_B2,BGD,310,7.27431321144104,0.46388736464581665,0.045900142880112876,0.605442391109845
prompt_B2,IRN,310,7.385381460189819,0.4403937895737632,0.09469167193705505,0.479352633563564
prompt_B2,SRB,310,7.232877492904663,0.4880559151730523,0.051702744011754856,0.5486844234544066
prompt_B2,ROU,310,7.218844413757324,0.48549075745140957,0.04482367238635087,0.6488723959572966
prompt_B2,KGZ,310,7.241937160491943,0.44338272286131586,0.058524551549589424,0.4760498942819804
prompt_B2,ETH,310,7.224612712860107,0.6035319153326826,0.07533177723438773,0.20930520107545483
prompt_B3_short,USA,310,7.272277116775513,0.5218962459693998,0.04779830140013929,0.5101009757274045
prompt_B3_short,GBR,310,7.1753621101379395,0.5060967753489625,0.07215950939636817,0.3360468677849353
prompt_B3_short,DEU,310,7.35304856300354,0.44915820645146876,0.06354247221496159,0.31893539128099085
prompt_B3_short,ARG,310,7.288476228713989,0.5329170642477906,0.07280421097600702,-0.14635482819423326
prompt_B3_short,BRA,310,7.387141227722168,0.3443268790189485,0.06908816016157221,0.4504048217188592
prompt_B3_short,MEX,310,7.325982570648193,0.48581144606717447,0.05428370339173265,0.4232834663021412
prompt_B3_short,COL,310,7.22839879989624,0.4867697818897754,0.051368924863141305,0.38555635896492657
prompt_B3_short,VNM,310,7.347126722335815,0.43114803440953586,0.042294167326167344,0.5515449635821913
prompt_B3_short,MMR,310,7.305829286575317,0.4406290681954101,0.06314257880432254,0.4826619826735374
prompt_B3_short,THA,310,7.325920104980469,0.4338181285012618,0.056302115343699846,0.10983493197260367
prompt_B3_short,MYS,310,7.151892900466919,0.4616264278095787,0.04365409619304136,0.4952412775032858
prompt_B3_short,IDN,310,7.184382438659668,0.4610622380518284,0.05103166394023119,
prompt_B3_short,CHN,310,7.341722726821899,0.2871644358424695,0.04187765895779478,0.7213896448336342
prompt_B3_short,JPN,310,7.379387855529785,0.30886754767031555,0.07875336462489123,0.5213995822562663
prompt_B3_short,BGD,310,7.273500919342041,0.48654301646559756,0.051010825297196964,0.40156373528177713
prompt_B3_short,IRN,310,7.422919511795044,0.4552584973072608,0.09804930944181546,0.4734888296603174
prompt_B3_short,SRB,310,7.3106653690338135,0.4721849179015983,0.09103615763193813,0.10218670444552437
prompt_B3_short,ROU,310,7.233712673187256,0.5164111466986163,0.055197673656497075,0.4552662723975678
