country,baseline,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
ROU,B3_long,Fitness,0,0.0,3,3
ROU,B3_long,Species,0,0.0024726232513785362,3,3
ROU,B3_long,SocialValue,0,0.0,3,3
ROU,B3_long,SocialValue,0,0.0,3,3
ROU,B3_long,SocialValue,0,1.0,5,5
ROU,B3_long,SocialValue,1,1.0,2,2
ROU,B3_long,SocialValue,0,0.0,3,3
ROU,B3_long,Age,0,0.0,1,1
ROU,B3_long,Fitness,1,1.0,3,3
ROU,B3_long,SocialValue,0,0.0,4,4
ROU,B3_long,SocialValue,0,0.0,2,2
ROU,B3_long,Gender,1,1.0,5,5
ROU,B3_long,Utilitarianism,1,1.0,4,5
ROU,B3_long,Utilitarianism,0,0.0,4,1
ROU,B3_long,Fitness,0,0.0,4,4
ROU,B3_long,Utilitarianism,1,1.0,2,5
ROU,B3_long,Species,0,0.3775406777858734,4,4
ROU,B3_long,Gender,1,1.0,3,3
ROU,B3_long,Gender,0,0.0,1,1
ROU,B3_long,Gender,0,0.0,4,4
ROU,B3_long,SocialValue,0,0.0,1,1
ROU,B3_long,Gender,0,0.0,3,3
ROU,B3_long,Gender,1,1.0,5,5
ROU,B3_long,Age,0,0.0,4,4
ROU,B3_long,SocialValue,0,0.8807970881462097,1,1
ROU,B3_long,Age,1,1.0,3,3
ROU,B3_long,Gender,1,1.0,3,3
ROU,B3_long,SocialValue,1,0.0,5,5
ROU,B3_long,Fitness,0,0.0,4,4
ROU,B3_long,Fitness,0,0.0,2,2
ROU,B3_long,Gender,0,0.0,5,5
ROU,B3_long,Species,0,0.999447226524353,1,1
ROU,B3_long,SocialValue,0,0.0,2,2
ROU,B3_long,Fitness,0,0.0,3,3
ROU,B3_long,SocialValue,1,0.14804719388484955,4,4
ROU,B3_long,Gender,1,1.0,1,1
ROU,B3_long,SocialValue,1,1.0,4,4
ROU,B3_long,Species,0,0.0,5,5
ROU,B3_long,Age,1,1.0,5,5
ROU,B3_long,Gender,1,1.0,1,1
ROU,B3_long,SocialValue,0,0.0,5,5
ROU,B3_long,SocialValue,1,1.0,4,4
ROU,B3_long,Age,1,1.0,2,2
ROU,B3_long,Fitness,1,1.0,4,4
ROU,B3_long,Utilitarianism,1,1.0,2,4
ROU,B3_long,Age,0,0.0,5,5
ROU,B3_long,Age,0,0.0,4,4
ROU,B3_long,Species,0,0.07585817575454712,2,2
ROU,B3_long,Fitness,0,0.0,5,5
ROU,B3_long,SocialValue,1,1.0,5,5
ROU,B3_long,Gender,0,0.0,2,2
ROU,B3_long,Fitness,0,0.0,5,5
ROU,B3_long,Gender,1,1.0,4,4
ROU,B3_long,SocialValue,0,0.0,2,2
ROU,B3_long,Age,1,1.0,4,4
ROU,B3_long,Fitness,1,1.0,2,2
ROU,B3_long,Utilitarianism,1,1.0,2,3
ROU,B3_long,Age,0,0.0,3,3
ROU,B3_long,Age,1,1.0,4,4
ROU,B3_long,Age,0,0.029312238097190857,3,3
ROU,B3_long,Age,0,0.0,5,5
ROU,B3_long,Gender,0,0.0,1,1
ROU,B3_long,Gender,0,0.0,1,1
ROU,B3_long,Gender,1,1.0,5,5
ROU,B3_long,Fitness,0,0.0,5,5
ROU,B3_long,Fitness,1,1.0,1,1
ROU,B3_long,Age,0,0.06008664518594742,2,2
ROU,B3_long,SocialValue,0,0.0,3,3
ROU,B3_long,Gender,1,1.0,5,5
ROU,B3_long,SocialValue,0,0.0,1,1
ROU,B3_long,Gender,0,0.0,1,1
ROU,B3_long,Species,1,1.0,2,2
ROU,B3_long,Age,0,0.0,5,5
ROU,B3_long,SocialValue,1,1.0,5,5
ROU,B3_long,SocialValue,1,1.0,1,1
ROU,B3_long,Fitness,1,1.0,5,5
ROU,B3_long,SocialValue,1,1.0,4,4
ROU,B3_long,Gender,0,0.0,3,3
ROU,B3_long,Gender,0,0.0,1,1
ROU,B3_long,Age,0,0.0,3,3
ROU,B3_long,Fitness,1,1.0,3,3
ROU,B3_long,Age,1,1.0,2,2
ROU,B3_long,Gender,0,0.0,4,4
ROU,B3_long,Gender,1,1.0,2,2
ROU,B3_long,SocialValue,1,0.06008666753768921,1,1
ROU,B3_long,Age,1,1.0,3,3
ROU,B3_long,SocialValue,1,1.0,3,3
ROU,B3_long,Gender,0,0.0,4,4
ROU,B3_long,Age,0,0.0,3,3
ROU,B3_long,Fitness,1,1.0,2,2
ROU,B3_long,Species,0,0.022977376356720924,1,1
ROU,B3_long,Gender,0,0.0,5,5
ROU,B3_long,SocialValue,0,0.43782350420951843,5,5
ROU,B3_long,Utilitarianism,0,0.622459352016449,4,2
