wvs,Species_Humans,Gender_Female,Age_Young,Fitness_Fit,SocialValue_High,Utilitarianism_More
religiosity,0.6596370246096842,1.651771628815413,-1.6569096752648573,0.5810486007399324,1.0165392623549385,-0.3739315987983988
child_rearing,-1.815775593869778,1.2895404820686593,0.8599577481510489,1.2990402938944705,-0.33006756160536455,2.4108701577274605
moral_acceptability,1.1281063097004798,-0.0204095158394324,-1.559212664856826,-0.3408733500303012,3.9662710824023386,-1.6894568821512266
social_trust,0.11121493421787898,1.4291734329078079,-0.8522413968521102,0.5055822940741445,2.805679017192477,-1.878821855068639
political_participation,-1.244146512760632,-0.819469262351395,-0.628746034041684,-0.3560715041305483,-0.1582487004255834,0.8552468158385137
national_pride,-0.3741368183269027,-0.10152055148569399,-0.27750651290560197,0.5195876060189827,1.1936040781308463,1.2074545658945397
happiness,-0.22688130166415452,-0.8812713514404962,0.1339060227548714,-1.689448304589062,-0.1136825998299571,1.716161076158804
gender_equality,0.40849977748383015,-3.415791003801767,-2.900694755181527,-1.1107450584698315,-1.867177498433951,0.6162987106166042
materialism_orientation,1.3466486648061478,-1.2618952295576615,0.8961677096498152,0.04046583683592372,-0.36471006843920034,2.1498787345846324
tolerance_diversity,-0.7627642812466552,-3.5241487622085805,1.9520028345549238,-0.5892703250836995,-7.757580004659673,1.5353901109051478
