method,country,n_scenarios,elapsed_sec,align_n_criteria,align_mis,align_jsd,align_cosine_sim,align_pearson_r,align_pearson_p,align_spearman_rho,align_spearman_p,align_mae,align_rmse,calib_method,calib_value,cal_loss,n_cal,n_test
calib_margin,USA,310,2.124640464782715,6,0.5641371196517955,0.09168064517370907,-0.5796362751460858,-0.5796362751460858,0.22791816679284596,-0.6,0.20799999999999982,20.185563431752495,23.030801468505327,margin,-4.0,0.42653077030468955,78,232
calib_margin,GBR,310,1.972609281539917,6,0.5761991663203772,0.09534637692044727,-0.6311926699063445,-0.6311926699063443,0.17894589624361198,-0.6,0.20799999999999982,20.79655933012246,23.523232461699703,margin,-4.0,0.41654703394582926,78,232
calib_margin,DEU,310,2.2668161392211914,6,0.5796561845404506,0.07872434113229237,0.022584578585925386,0.0225845785859254,0.9661288919022101,0.08571428571428573,0.8717434402332361,20.748395473179702,23.66436463954445,margin,-4.0,0.47716541432630205,78,232
calib_margin,ARG,310,2.3466765880584717,6,0.4528940317072058,0.05513854205941716,0.15179279476104934,0.15179279476104934,0.7740595407381714,0.14285714285714288,0.7871720116618075,16.711507977080245,18.489321420575337,margin,-4.0,0.527829494489564,78,232
calib_margin,BRA,310,2.226498603820801,6,0.29750094786897485,0.05536585872351468,0.4886116184438732,0.4886116184438733,0.32540846216708535,0.4285714285714286,0.3965014577259474,10.248537395946068,12.145425337888778,margin,-4.0,0.43989612517823556,78,232
calib_margin,MEX,310,1.9908983707427979,6,0.5055899125109145,0.062079429257531654,-0.16117939936439593,-0.16117939936439596,0.7603245245451475,-0.028571428571428574,0.9571545189504373,18.59361986262685,20.640621745835485,margin,-4.0,0.5351876413826844,78,232
calib_margin,COL,310,1.9600729942321777,6,0.46880869855916035,0.051867554022317935,0.274294148742311,0.274294148742311,0.5988773497268769,0.2571428571428572,0.6227871720116618,17.600374860191852,19.139034974136568,margin,-4.0,0.5665446283929921,78,232
calib_margin,VNM,310,2.6632895469665527,6,0.5607317379691361,0.07064528862240628,-0.006623931041145648,-0.00662393104114564,0.9900642487556124,0.08571428571428573,0.8717434402332361,20.70769622826258,22.891777343473063,margin,-4.0,0.4677863958131105,78,232
calib_margin,MMR,310,1.9260034561157227,6,0.5226628354481715,0.09699997060560954,-0.44385536464316405,-0.44385536464316405,0.3779383897124947,-0.3714285714285715,0.46847813411078715,18.229212700117426,21.337620906071134,margin,-4.0,0.40773344355079927,78,232
calib_margin,THA,310,1.9198787212371826,6,0.4944056268489338,0.09143734159387916,-0.5231433617594533,-0.5231433617594534,0.28687162738385547,-0.6,0.20799999999999982,17.334137741227412,20.18402519567918,margin,-4.0,0.40609351603254623,78,232
calib_margin,MYS,310,1.9276373386383057,6,0.4970139846991755,0.08590677196766577,-0.5286120596656254,-0.5286120596656253,0.28093713197562986,-0.6,0.20799999999999982,18.011922077771256,20.290510959007097,margin,-4.0,0.4185631629138458,78,232
calib_margin,IDN,310,2.288221836090088,6,0.5422797528366448,0.07193773657003305,-0.032233583574206116,-0.03223358357420609,0.951666370048375,0.08571428571428573,0.8717434402332361,19.798101304112812,22.13847820487264,margin,-4.0,0.4526042179535118,78,232
calib_margin,CHN,310,2.385561466217041,6,0.5277970693431348,0.10616425601029082,-0.1917409633552179,-0.1917409633552179,0.7159131945929679,-0.5428571428571429,0.26570262390670557,17.135272799739443,21.547225127117176,margin,-4.0,0.3701957596279643,78,232
calib_margin,JPN,310,2.955981731414795,6,0.3267958606223989,0.06659347020932813,0.581843061779524,0.581843061779524,0.22572437471773774,0.6571428571428573,0.15617492711370237,11.765748386595225,13.341385142976119,margin,-4.0,0.19921217727883186,78,232
calib_margin,BGD,310,1.965294361114502,6,0.5349526069969184,0.09200245219694418,-0.5702887516249445,-0.5702887516249443,0.23730416696680123,-0.6,0.20799999999999982,19.555941866258006,21.83934872856787,margin,-4.0,0.41336369735627176,78,232
calib_margin,IRN,310,3.1942689418792725,6,0.35329964010951326,0.07986239512790269,0.14612612859064605,0.14612612859064605,0.7823709114345357,0.3714285714285715,0.46847813411078715,12.454538524654874,14.423397409620685,margin,-4.0,0.477371133990149,78,232
calib_margin,SRB,310,1.9605712890625,6,0.5628873066601474,0.09519428559103515,-0.6751309202023711,-0.6751309202023712,0.1411665503277239,-0.7714285714285715,0.07239650145772594,20.523318677573762,22.979778066781343,margin,-4.0,0.4083829531555502,78,232
calib_margin,ROU,310,1.9668567180633545,6,0.5635215771764049,0.09628622958746731,-0.664026455249858,-0.6640264552498581,0.15035528584306504,-0.7714285714285715,0.07239650145772594,20.39409611933271,23.005672052176717,margin,-4.0,0.4106886108988308,78,232
calib_margin,KGZ,310,1.9658105373382568,6,0.5378456671827099,0.09176908128987879,-0.5192017792857097,-0.5192017792857095,0.2911780694773446,-0.7714285714285715,0.07239650145772594,19.128477524871673,21.957457416073712,margin,-4.0,0.4350057063815702,78,232
calib_margin,ETH,310,1.937040090560913,6,0.6546764117001335,0.09730682616557827,-0.3999281257648289,-0.3999281257648289,0.4320905646356734,-0.2571428571428572,0.6227871720116618,22.094357683716424,26.727052588359566,margin,-4.0,0.4689154758959781,78,232
