model,params_B,vanilla_mis,disca_mis,delta,n_countries
gemma3_270m,0.27,0.4795161688473839,0.4780588325079358,0.001457336339448112,20
gemma4_e2b,2.0,0.49506029735961743,0.4784516375651092,0.016608659794508207,20
phi35_mini,3.8,0.6379248369073878,0.5713489921560824,0.0665758447513054,20
hf_qwen25_7b_bf16,7.6,0.453063690603584,0.3619473293152975,0.09111636128828648,20
qwen25_7b,7.6,0.48231830762388406,0.47995322492771136,0.0023650826961726934,20
qwen3_vl_8b,8.0,0.5748161698688706,0.46629584255236817,0.10852032731650246,20
phi_4,14.7,0.45393728820921375,0.34635954727039153,0.10757774093882222,20
gpt_oss_20b,20.9,0.49382357710628677,0.483229089466958,0.010594487639328798,20
magistral_small_2509,24.0,0.40305072188795227,0.35040904753009383,0.05264167435785844,20
llama31_70b,70.6,0.4802137324532971,0.49905485351140316,-0.018841121058106036,20
llama33_70b,70.6,0.8494260696721911,0.667729447832323,0.18169662183986812,20
