ablation,country,n_scenarios,jsd,pearson_r,spearman_rho,mae,rmse,mis,cosine_sim,n_criteria,flip_rate,mean_reliability_r,std_reliability_r,mean_bootstrap_var,std_bootstrap_var,mean_ess_pass1,mean_ess_pass2,mean_ess_anchor_alpha,mean_positional_bias,std_positional_bias,mean_delta_consensus,mean_delta_opt,mean_delta_opt_micro,std_delta_opt_micro,final_delta_country,final_alpha_h,prior_steps,util_slope_hat,util_slope_se,util_n_obs,elapsed_sec,model_Species_Humans,human_Species_Humans,model_Gender_Female,human_Gender_Female,model_Age_Young,human_Age_Young,model_Fitness_Fit,human_Fitness_Fit,model_SocialValue_High,human_SocialValue_High,model_Utilitarianism_More,human_Utilitarianism_More,abserr_Age_Young,signerr_Age_Young,abserr_Fitness_Fit,signerr_Fitness_Fit,abserr_Gender_Female,signerr_Gender_Female,abserr_SocialValue_High,signerr_SocialValue_High,abserr_Species_Humans,signerr_Species_Humans,abserr_Utilitarianism_More,signerr_Utilitarianism_More,model
Full SWA-DPBR,USA,310,0.08639907257092304,0.5169102602066006,0.48571428571428577,12.349643998893407,14.997899426314792,0.3673720080805179,0.5169102602066004,6,0.3387096774193548,0.8179026648021316,0.3650353807399209,0.21280696266252627,0.8506624337752281,0.5530175195105614,0.5523647789993594,0.52883656712309,-29.146089215432443,26.861833979840338,1.3178530731508808,,1.0308903680748172,11.66795977649089,1.2402104810156163,0.9279215377612339,313,0.032572441178922086,0.08393223997256695,20,28.625398874282837,90.89636962210388,79.20219438265315,57.53313171304975,56.0298882980414,52.95935871408862,74.5377281560045,55.80684427499671,58.8095535738558,43.589702823400245,67.9307274803549,64.57407955881555,76.5524214999873,21.578369441915882,-21.578369441915882,3.002709298859088,-3.002709298859088,1.503243415008349,1.503243415008349,24.34102465695466,-24.34102465695466,11.694175239450729,11.694175239450729,11.978341941171749,-11.978341941171749,microsoft/phi-4
No-IS (consensus only),USA,310,0.09095581360397362,0.5104384412922851,0.48571428571428577,12.71307956345415,15.38545432344972,0.37686512553349183,0.5104384412922851,6,0.3064516129032258,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-29.14243874703684,26.86201301707513,1.2924193628372684,,1.2924193628372684,14.793360984752288,1.9583993511489994,0.9279215377612339,313,0.07114931024212401,0.0842943711796501,20,26.394969701766968,93.97343498477053,79.20219438265315,57.81157221752468,56.0298882980414,53.367589704171984,74.5377281560045,56.75692620220111,58.8095535738558,43.343147805312135,67.9307274803549,64.63721413939305,76.5524214999873,21.17013845183252,-21.17013845183252,2.052627371654694,-2.052627371654694,1.781683919483278,1.781683919483278,24.587579675042768,-24.587579675042768,14.771240602117388,14.771240602117388,11.915207360594252,-11.915207360594252,microsoft/phi-4
Always-on PT-IS,USA,310,0.09111091130343689,0.5012368770338113,0.48571428571428577,13.375763935271138,15.923654021689043,0.3900482719375541,0.5012368770338113,6,0.3419354838709677,1.0,0.0,0.22241463983782106,0.8865273862575558,0.553429331750639,0.553582038369871,0.5295576699318424,-29.143749815417873,26.863311968489963,1.2714814486042145,,0.9753699643792765,11.63157037703526,1.1579618815965884,0.9279215377612339,313,0.011635519904486965,0.08249980574291005,20,26.891627311706543,91.54643657675992,79.20219438265315,57.61976322563345,56.0298882980414,51.748566290529155,74.5377281560045,54.24396340239321,58.8095535738558,42.65500553845357,67.9307274803549,62.86242898889856,76.5524214999873,22.78916186547535,-22.78916186547535,4.565590171462588,-4.565590171462588,1.5898749275920494,1.5898749275920494,25.27572194190133,-25.27572194190133,12.34424219410677,12.34424219410677,13.689992511088747,-13.689992511088747,microsoft/phi-4
No debiasing,USA,310,0.05225228536224106,0.3453497629692577,0.3714285714285715,19.856564987603083,21.56158967936317,0.5281489275769972,0.3453497629692576,6,0.035483870967741936,0.8948206732196501,0.27324066405955444,0.4551845112827927,2.3673097829570025,0.8143310903541503,0.8144516563223254,0.8006129052369825,0.0,0.0,37.01925269365311,,25.446357200991724,18.387456224909272,24.997571445755263,0.9279215377612339,313,3.119562836855821e-17,0.11785113019775235,20,13.238750219345093,50.024048467904215,79.20219438265315,50.00000000002458,56.0298882980414,50.0,74.5377281560045,47.64659007723242,58.8095535738558,46.25248492011498,67.9307274803549,50.000000000002366,76.5524214999873,24.537728156004505,-24.537728156004505,11.162963496623384,-11.162963496623384,6.029888298016822,-6.029888298016822,21.678242560239923,-21.678242560239923,29.17814591474893,-29.17814591474893,26.552421499984938,-26.552421499984938,microsoft/phi-4
Without persona,USA,310,0.05256829892420801,0.4194217226222714,0.4285714285714286,15.81570561356646,17.762204131308785,0.43508336828861854,0.4194217226222713,6,0.2064516129032258,0.9951145832765966,0.007741600637531776,0.00019712864977709216,0.0003163193930065029,0.31870828660265094,0.314359492544205,0.2917553388784009,-29.1422879434401,26.867366551303924,-0.0177146480929467,,-0.01750052920730424,3.686607348512014,-0.09719990194185212,0.9279215377612339,313,-0.025528312733548934,0.042572907140711755,20,17.641199827194214,53.68177990086214,79.20219438265315,49.51882706004073,56.0298882980414,50.21855340921218,74.5377281560045,53.8128971696042,58.8095535738558,47.97898505628949,67.9307274803549,62.95723711348956,76.5524214999873,24.319174746792328,-24.319174746792328,4.996656404251603,-4.996656404251603,6.511061238000671,-6.511061238000671,19.951742424065415,-19.951742424065415,25.520414481791008,-25.520414481791008,13.595184386497742,-13.595184386497742,microsoft/phi-4
No country prior (a_h=0),USA,310,0.08202740232531326,0.5999126024835444,0.6,11.44308276303701,13.49535979293879,0.3305674538797208,0.5999126024835442,6,0.13225806451612904,0.8257347318289335,0.3516119764210651,0.21226503336681368,1.0752957628534663,0.5499206678040566,0.5518153631398754,0.5272155724225506,-29.14229545593262,26.86244670040459,1.3109454031913512,,0.9853705343722756,11.698982416990503,1.5140888421001941,0.9279215377612339,313,0.0732688030926511,0.048911257095733636,20,26.918171405792236,99.99924229531352,79.20219438265315,65.39499041225228,56.0298882980414,56.92906650772252,74.5377281560045,53.438478836063396,58.8095535738558,52.64812602659612,67.9307274803549,76.78643021150492,76.5524214999873,17.608661648281988,-17.608661648281988,5.371074737792405,-5.371074737792405,9.365102114210885,9.365102114210885,15.282601453758787,-15.282601453758787,20.797047912660375,20.797047912660375,0.23400871151761748,0.23400871151761748,microsoft/phi-4
Full SWA-DPBR,JPN,310,0.04818778438862952,0.6760781811037048,0.7142857142857143,6.469961522899735,7.887464074526891,0.19320262347124428,0.6760781811037049,6,0.1935483870967742,0.6857741635667202,0.4297386713200109,0.6546925162939744,2.3463060431310994,0.6711815856156811,0.6637966984702695,0.6479515493877472,21.003749690517303,19.950690214913717,-3.164594827928851,,-6.373509456145187,19.541755485233416,-13.627199713819287,0.9279215377612339,313,0.033296044698637214,0.09281071468927082,20,34.506556272506714,76.53373485391661,79.82474186208034,53.6247776180082,54.73972407640619,55.690247262160305,70.0032045118601,60.29378575455112,56.22273648607725,55.52089511396572,65.91141816927926,74.32207857769208,68.6827924803426,14.3129572496998,-14.3129572496998,4.071049268473871,4.071049268473871,1.1149464583979878,-1.1149464583979878,10.390523055313537,-10.390523055313537,3.2910070081637315,-3.2910070081637315,5.639286097349483,5.639286097349483,microsoft/phi-4
No-IS (consensus only),JPN,310,0.05971261057507764,0.6992354851228691,0.7714285714285715,7.607028374122834,9.354764359804186,0.2291439934549399,0.6992354851228693,6,0.15806451612903225,1.0,0.0,0.0,0.0,1.0,1.0,1.0,21.003500966102845,19.95127490632629,-3.1824987165389524,,-3.1824987165389524,23.275029606756625,-11.830057379227915,0.9279215377612339,313,-0.03130351059523926,0.0641347054798957,20,31.839566230773926,84.19091452964415,79.82474186208034,54.7621147795253,54.73972407640619,61.03753535539852,70.0032045118601,59.81173158321139,56.22273648607725,52.24274391458421,65.91141816927926,83.71306084610592,68.6827924803426,8.965669156461587,-8.965669156461587,3.588995097134138,3.588995097134138,0.022390703119107513,0.022390703119107513,13.668674254695048,-13.668674254695048,4.366172667563802,4.366172667563802,15.03026836576332,15.03026836576332,microsoft/phi-4
Always-on PT-IS,JPN,310,0.04834819361356334,0.6830045734659352,0.7142857142857143,6.657291916158408,7.991795137228358,0.19575820215065343,0.6830045734659352,6,0.2032258064516129,1.0,0.0,0.38814444837637646,1.309877549524346,0.6673149687628592,0.6715489552867028,0.649605760458977,21.200078699665685,19.926734679364966,-3.123071261375181,,-6.332791855294378,19.591229009102545,-13.599757931480363,0.9279215377612339,313,0.028979376074813278,0.09370167132883732,20,32.409996509552,76.52062696570366,79.82474186208034,52.73799440133029,54.73972407640619,55.62585405226081,70.0032045118601,60.32150927004931,56.22273648607725,55.16792706363495,65.91141816927926,74.1010850566248,68.6827924803426,14.377350459599292,-14.377350459599292,4.098772783972059,4.098772783972059,2.0017296750759,-2.0017296750759,10.74349110564431,-10.74349110564431,3.3041148963766886,-3.3041148963766886,5.418292576282198,5.418292576282198,microsoft/phi-4
No debiasing,JPN,310,0.03437673177585468,0.8727816745439805,0.7142857142857143,8.55403943186682,9.745337498299264,0.23871104242044325,0.8727816745439807,6,0.16129032258064516,0.7748373738652817,0.38828025682368683,1.408355144687798,9.879937938074264,0.7637243124746507,0.7634101582150306,0.7467929006584229,0.0,0.0,25.829330243038072,,21.96337522941251,29.250201566254606,12.816325982634487,0.9279215377612339,313,0.15000000194167715,0.10797250546044619,20,16.45345115661621,76.68581154185195,79.82474186208034,50.17099244602762,54.73972407640619,56.6732196211155,70.0032045118601,50.002152254001,56.22273648607725,49.80822196890261,65.91141816927926,60.719983162946164,68.6827924803426,13.329984890744605,-13.329984890744605,6.220584232076256,-6.220584232076256,4.568731630378572,-4.568731630378572,16.10319620037665,-16.10319620037665,3.138930320228397,-3.138930320228397,7.9628093173964345,-7.9628093173964345,microsoft/phi-4
Without persona,JPN,310,0.05763158226617348,-0.07836297038176954,-0.08571428571428573,15.781479246867237,18.079916845310613,0.44286570862961144,-0.07836297038176956,6,0.0,0.995385737247143,0.0066135308570952995,0.00018589072160615802,0.0002687166221029158,0.31934640888244875,0.314957876407331,0.29338867553780157,21.25173039282522,19.88893485882454,-16.38224831242715,,-16.382151316178422,20.81707420122983,-19.60941184520505,0.9279215377612339,313,-2.0078521508839636e-05,0.11202335661465422,20,17.821778535842896,47.9849461040515,79.82474186208034,50.54828063613378,54.73972407640619,51.18440877037068,70.0032045118601,48.513546984564165,56.22273648607725,49.51218805076477,65.91141816927926,52.952371558957424,68.6827924803426,18.818795741489424,-18.818795741489424,7.709189501513087,-7.709189501513087,4.191443440272408,-4.191443440272408,16.399230118514488,-16.399230118514488,31.839795758028842,-31.839795758028842,15.730420921385175,-15.730420921385175,microsoft/phi-4
No country prior (a_h=0),JPN,310,0.06470897656844635,0.6795398398360375,0.7142857142857143,10.525952481905527,11.319241974885971,0.2772636711356399,0.6795398398360377,6,0.10967741935483871,0.6896020020315415,0.42990249307284156,0.5734353736492579,2.1170128604822134,0.6642298505671562,0.6674633257812069,0.6464056142395542,21.056192490362353,19.916165619322896,-3.151920843893482,,-6.375209043631631,19.63130983656045,-13.773446540288115,0.9279215377612339,313,0.05574169258240305,0.07086723149429204,20,31.272905111312866,95.41046868678903,79.82474186208034,65.08297154155495,54.73972407640619,65.98812139437692,70.0032045118601,62.665295503165154,56.22273648607725,51.31566931570626,65.91141816927926,80.85614209377422,68.6827924803426,4.0150831174831865,-4.0150831174831865,6.442559017087902,6.442559017087902,10.343247465148764,10.343247465148764,14.595748853573,-14.595748853573,15.585726824708686,15.585726824708686,12.173349613431625,12.173349613431625,microsoft/phi-4
Full SWA-DPBR,VNM,310,0.11715643525090152,0.4131740181753342,0.48571428571428577,15.97486530258582,20.82904025933799,0.5102052046726626,0.4131740181753341,6,0.23225806451612904,0.7897254158628662,0.3838651671558608,0.3328286782629198,1.2763062635224023,0.5700300426252427,0.5689387035946692,0.5462696716670067,41.22030645493538,13.542651986578202,-4.397928959335531,,-3.368356234237792,19.05837776406501,-3.8762142123984424,0.9279215377612339,313,0.010550049714506876,0.10633859587598259,20,31.118276357650757,73.58526101193614,77.72253006105205,44.08834651001586,56.824729929568896,30.15956788127666,72.72528264808984,43.89744839014696,57.972196212438355,71.08277970638142,68.98151465777724,53.38670866588869,73.6205203750259,42.56571476681319,-42.56571476681319,14.074747822291393,-14.074747822291393,12.736383419553036,-12.736383419553036,2.1012650486041764,2.1012650486041764,4.137269049115915,-4.137269049115915,20.233811709137214,-20.233811709137214,microsoft/phi-4
No-IS (consensus only),VNM,310,0.12182113436320262,0.4212555741579074,0.5428571428571429,16.290186392842852,21.190112407948106,0.5190496299169143,0.42125557415790726,6,0.22258064516129034,1.0,0.0,0.0,0.0,1.0,1.0,1.0,41.218942869863206,13.542070510674785,-4.4436445267029825,,-4.4436445267029825,24.116715648917427,-5.56222175889713,0.9279215377612339,313,0.017817950735833865,0.10956732636852881,20,30.947667121887207,73.41852485264222,77.72253006105205,43.1906899018924,56.824729929568896,28.952280055748137,72.72528264808984,43.38631307391271,57.972196212438355,71.61153366311748,68.98151465777724,54.80635199026275,73.6205203750259,43.77300259234171,-43.77300259234171,14.585883138525645,-14.585883138525645,13.634040027676498,-13.634040027676498,2.6300190053402446,2.6300190053402446,4.3040052084098335,-4.3040052084098335,18.814168384763157,-18.814168384763157,microsoft/phi-4
Always-on PT-IS,VNM,310,0.114983543543268,0.41789600489953893,0.48571428571428577,16.101596477809483,20.887869173378117,0.5116462128878663,0.41789600489953876,6,0.22580645161290322,1.0,0.0,0.34835276694210787,1.4099501688335003,0.5733287674765433,0.5735392805068723,0.5503085345029831,41.220900640180034,13.542824236731237,-4.422947626741182,,-3.4912353030353365,18.98723838065045,-4.152647505540289,0.9279215377612339,313,0.0017010374997755452,0.10461366100004427,20,30.389144897460938,72.91755602078602,77.72253006105205,44.000557389735945,56.824729929568896,30.472357012301917,72.72528264808984,43.40199148054925,57.972196212438355,70.38551601418781,68.98151465777724,52.8672198123556,73.6205203750259,42.25292563578793,-42.25292563578793,14.570204731889106,-14.570204731889106,12.82417253983295,-12.82417253983295,1.4040013564105749,1.4040013564105749,4.804974040266032,-4.804974040266032,20.753300562670304,-20.753300562670304,microsoft/phi-4
No debiasing,VNM,310,0.05588270079708557,0.34606659829349923,0.3714285714285715,15.280693358333814,17.242582370779317,0.4223552865631799,0.34606659829349906,6,0.17096774193548386,0.8352309359810108,0.3488571218284068,0.6539086445055897,2.3769869203078358,0.743922445178032,0.7432566264944692,0.7256020278699936,0.0,0.0,24.573203695397222,,28.268666315078736,28.6607457608789,24.947613652844726,0.9279215377612339,313,0.050118372059511716,0.11664835825536743,20,15.578638315200806,58.34663976944798,77.72253006105205,49.498602339418305,56.824729929568896,43.33982203413782,72.72528264808984,49.99999999999819,57.972196212438355,59.97163098797124,68.98151465777724,55.00591860297588,73.6205203750259,29.385460613952027,-29.385460613952027,7.972196212440167,-7.972196212440167,7.326127590150591,-7.326127590150591,9.009883669806001,-9.009883669806001,19.375890291604073,-19.375890291604073,18.614601772050023,-18.614601772050023,microsoft/phi-4
Without persona,VNM,310,0.046259968247556134,0.4140858709239707,0.2571428571428572,16.04843748236863,17.58780287886551,0.4308114274987351,0.4140858709239705,6,0.2161290322580645,0.994832601639864,0.007130301285895887,0.00020826863603912922,0.00028936334467331615,0.3194628079091349,0.31433286729358856,0.29352642658256717,41.21890242484308,13.540845031356133,0.13250536149547945,,0.13320969387704898,1.5256330765526709,0.037476671461213466,0.9279215377612339,313,-0.0055228125846034076,0.010801540833053805,20,17.40322518348694,58.504034411865014,77.72253006105205,49.81969557584162,56.824729929568896,50.13114154725806,72.72528264808984,52.02695947132276,57.972196212438355,52.05478303109572,68.98151465777724,49.01953495235734,73.6205203750259,22.594141100831784,-22.594141100831784,5.945236741115593,-5.945236741115593,7.005034353727275,-7.005034353727275,16.926731626681523,-16.926731626681523,19.21849564918704,-19.21849564918704,24.600985422668565,-24.600985422668565,microsoft/phi-4
No country prior (a_h=0),VNM,310,0.1706748176195732,0.5134849393246566,0.5428571428571429,22.238133352408653,25.603803229105026,0.6271625338593159,0.5134849393246566,6,0.0935483870967742,0.7711500417496759,0.39592871850961137,0.30471504263351373,0.9730491654317709,0.5721643872318729,0.5678041636463135,0.5457408738713111,41.2203015388981,13.543208586482114,-4.3933837167798515,,-3.302732955660641,18.86884063076853,-4.197562421187886,0.9279215377612339,313,0.02805236727001614,0.09859357518269218,20,30.085322856903076,94.67382422438018,77.72253006105205,37.513885879044466,56.824729929568896,24.51021670173376,72.72528264808984,39.21887503436395,57.972196212438355,75.69239156275076,68.98151465777724,50.13312250383058,73.6205203750259,48.215065946356084,-48.215065946356084,18.75332117807441,-18.75332117807441,19.31084405052443,-19.31084405052443,6.710876904973517,6.710876904973517,16.95129416332813,16.95129416332813,23.487397871195327,-23.487397871195327,microsoft/phi-4
Full SWA-DPBR,USA,310,0.06725933782089541,0.6563466994383523,0.7142857142857143,13.256592354772172,15.857311362648888,0.38842321530927587,0.6563466994383521,6,0.22903225806451613,0.9788237013456813,0.03765385107323181,0.0008890315552505051,0.0016704538383866489,0.6606449398302263,0.659048411538524,0.6379053610947825,-0.2739852267647943,2.3929927364580172,-0.33696658497135484,,-0.5256846081165056,2.355469401793695,-0.9335991143004198,0.9279215377612339,313,-0.04428291304566337,0.05308273014121473,20,23.062013864517212,75.1783092643768,79.20219438265315,51.27832781594122,56.0298882980414,63.5600498539547,74.5377281560045,48.12628661925259,58.8095535738558,39.52200778075946,67.9307274803549,55.85797792797926,76.5524214999873,10.977678302049803,-10.977678302049803,10.683266954603212,-10.683266954603212,4.751560482100182,-4.751560482100182,28.408719699595444,-28.408719699595444,4.023885118276354,-4.023885118276354,20.69444357200804,-20.69444357200804,Qwen/Qwen2.5-7B-Instruct
No-IS (consensus only),USA,310,0.0666951549079833,0.6080967202899468,0.7142857142857143,13.272283474868367,15.887334793572746,0.38915863617018737,0.6080967202899467,6,0.2064516129032258,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.26971623320733346,2.3913937075567744,-0.3356962961655471,,-0.3356962961655471,2.132599099578779,-0.4258802095596963,0.9279215377612339,313,-0.04576012051572148,0.04874670248499037,20,22.629299640655518,74.19456242272324,79.20219438265315,52.14135510095381,56.0298882980414,60.46058181027261,74.5377281560045,50.4762381925898,58.8095535738558,39.357874264715406,67.9307274803549,56.798200750432,76.5524214999873,14.077146345731897,-14.077146345731897,8.333315381266004,-8.333315381266004,3.8885331970875896,-3.8885331970875896,28.572853215639498,-28.572853215639498,5.00763195992991,-5.00763195992991,19.7542207495553,-19.7542207495553,Qwen/Qwen2.5-7B-Instruct
Always-on PT-IS,USA,310,0.06712622924893195,0.6538266609917389,0.7142857142857143,13.298480813798093,15.889691738833113,0.3892163693025831,0.6538266609917387,6,0.21935483870967742,1.0,0.0,0.0010381313110356893,0.002162524718517978,0.6604237486277857,0.6571424979356028,0.6358634842980293,-0.27789488730411377,2.3949092327432804,-0.33534468101758147,,-0.5199882126683669,2.3492314432422035,-0.966616836146491,0.9279215377612339,313,-0.046249827109085644,0.052848606896921585,20,22.557018995285034,75.08544472255593,79.20219438265315,51.194152801942316,56.0298882980414,63.54610724839489,74.5377281560045,48.25971140831601,58.8095535738558,39.58408567355417,67.9307274803549,55.60212665334519,76.5524214999873,10.991620907609615,-10.991620907609615,10.549842165539793,-10.549842165539793,4.835735496099083,-4.835735496099083,28.346641806800733,-28.346641806800733,4.116749660097213,-4.116749660097213,20.950294846642116,-20.950294846642116,Qwen/Qwen2.5-7B-Instruct
No debiasing,USA,310,0.0745452247844375,0.5860972598412302,0.7142857142857143,12.590158678151596,15.803689313943838,0.3871097487263755,0.5860972598412302,6,0.2129032258064516,0.9650831342781108,0.07363264332038347,0.0015967041315337002,0.0042294160793440155,0.6878877701297883,0.6876066210769838,0.6681073456041274,0.0,0.0,0.27634408376630276,,-0.08663138849059901,2.8550371470047873,-0.5242933401048936,0.9279215377612339,313,-0.054622264872225275,0.07308810594962718,20,12.108196258544922,71.43846735869141,79.20219438265315,53.03138295644993,56.0298882980414,68.81664810761534,74.5377281560045,49.90119323350085,58.8095535738558,37.392191079759876,67.9307274803549,56.94167858597009,76.5524214999873,5.721080048389169,-5.721080048389169,8.908360340354953,-8.908360340354953,2.9985053415914678,-2.9985053415914678,30.538536400595028,-30.538536400595028,7.763727023961735,-7.763727023961735,19.610742914017216,-19.610742914017216,Qwen/Qwen2.5-7B-Instruct
Without persona,USA,310,0.06383235562398065,0.7073262154530677,0.7142857142857143,14.025212135803896,16.24106922427406,0.3978233247669085,0.7073262154530676,6,0.2,0.9951145824535987,0.007741601505661315,0.0001971286837166215,0.00031631942622864766,0.3187082964566446,0.3143594893236314,0.29175533714794344,-0.2702364482946934,2.398826297297288,-1.085472654070585,,-1.0852585482095638,3.5332214694741033,-2.6538488034189895,0.9279215377612339,313,-0.025614112024657614,0.07389283868108802,20,15.266875743865967,74.2028977045792,79.20219438265315,49.41255552707627,56.0298882980414,65.37429716620325,74.5377281560045,45.130177380233405,58.8095535738558,41.07001102828267,67.9307274803549,53.72130176969889,76.5524214999873,9.163430989801256,-9.163430989801256,13.679376193622396,-13.679376193622396,6.6173327709651275,-6.6173327709651275,26.860716452072232,-26.860716452072232,4.9992966780739465,-4.9992966780739465,22.831119730288414,-22.831119730288414,Qwen/Qwen2.5-7B-Instruct
No country prior (a_h=0),USA,310,0.1112441644819232,0.5339853125955335,0.3142857142857143,13.778673122015269,18.337796939973714,0.4491824550970636,0.5339853125955335,6,0.07096774193548387,0.9750946257134475,0.042330919573423775,0.0010509434564249783,0.0018939982898359992,0.6561601099468046,0.6594601069727252,0.6361941806731686,-0.27497810163805564,2.3928222054189585,-0.33485444691633026,,-0.5161961805090428,2.344393841455482,-0.9390581794487296,0.9279215377612339,313,0.01574388146400454,0.06986632724674288,20,22.00115704536438,88.08782644569874,79.20219438265315,52.6121282170061,56.0298882980414,72.12513106758706,74.5377281560045,51.324466196811045,58.8095535738558,33.405872876677876,67.9307274803549,50.60631398111581,76.5524214999873,2.412597088417442,-2.412597088417442,7.485087377044756,-7.485087377044756,3.417760081035297,-3.417760081035297,34.52485460367703,-34.52485460367703,8.885632063045591,8.885632063045591,25.946107518871493,-25.946107518871493,Qwen/Qwen2.5-7B-Instruct
Full SWA-DPBR,JPN,310,0.0401130500744813,0.7117194000693673,0.6571428571428573,13.479669339691,14.759127733512946,0.361523319956667,0.7117194000693674,6,0.25806451612903225,0.9080708824799257,0.2458833021680401,0.08505650324490821,0.706712233814209,0.6405485718481002,0.6302823268598126,0.6132476840288409,32.78575234528511,22.59894478262604,-0.6872845458167215,,-1.5594204049963023,4.35017303734235,-0.39141277963259136,0.9279215377612339,313,-0.03786324273232189,0.08494403607830786,20,21.8799729347229,64.17371961901904,79.82474186208034,46.98888998055698,54.73972407640619,51.070402292756846,70.0032045118601,53.293086748783026,56.22273648607725,48.720699528016155,65.91141816927926,50.2598033787677,68.6827924803426,18.93280221910326,-18.93280221910326,2.929649737294227,-2.929649737294227,7.750834095849207,-7.750834095849207,17.190718641263103,-17.190718641263103,15.651022243061306,-15.651022243061306,18.4229891015749,-18.4229891015749,Qwen/Qwen2.5-7B-Instruct
