model,method,country,dimension,human,model_mpr,abs_err
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,USA,Utilitarianism_More,76.5524214999873,43.95458165438772,32.59783984559959
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,USA,Species_Humans,79.20219438265315,53.76907256713505,25.4331218155181
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,USA,SocialValue_High,67.9307274803549,46.74998456428587,21.180742916069036
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,USA,Age_Young,74.5377281560045,55.47665647997779,19.061071676026714
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,USA,Fitness_Fit,58.8095535738558,50.26386544774911,8.54568812610669
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,USA,Gender_Female,56.0298882980414,50.94176530234693,5.088122995694469
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,GBR,Utilitarianism_More,76.9693326806953,43.53305489923872,33.43627778145658
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,GBR,Species_Humans,79.86732647450006,53.42876328590567,26.438563188594394
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,GBR,SocialValue_High,67.6880909457592,46.345650048018925,21.342440897740275
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,GBR,Age_Young,75.1475184681438,56.05506414159539,19.092454326548413
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,GBR,Fitness_Fit,59.827081815426396,50.13133389799278,9.695747917433614
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,GBR,Gender_Female,54.830638199490686,51.530057661087916,3.3005805384027695
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,DEU,Species_Humans,82.44449804706495,51.41277910471174,31.031718942353216
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,DEU,Utilitarianism_More,75.14357520664106,49.68209138424465,25.46148382239641
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,DEU,Age_Young,73.9074790565083,52.08520685089386,21.822272205614432
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,DEU,SocialValue_High,64.736481239021,48.29893096718961,16.43755027183139
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,DEU,Fitness_Fit,57.12210350834395,50.739718400722424,6.3823851076215234
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,DEU,Gender_Female,54.73683229587576,50.87123898174883,3.865593314126926
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,ARG,Utilitarianism_More,74.99986128876151,41.89976870762049,33.10009258114102
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,ARG,SocialValue_High,68.53593047136175,43.93395376661097,24.601976704750783
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,ARG,Age_Young,75.14002897670564,50.84823052671832,24.29179844998732
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,ARG,Species_Humans,69.52456706948846,47.40021004398914,22.124357025499314
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,ARG,Fitness_Fit,58.04538742118584,48.908667854614336,9.136719566571507
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,ARG,Gender_Female,57.032990046600695,50.17691176162224,6.856078284978452
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,BRA,Utilitarianism_More,73.71591025897145,51.11314117335491,22.602769085616536
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,BRA,Age_Young,73.59076653683455,53.449122963752636,20.141643573081915
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,BRA,SocialValue_High,66.3433860656688,48.43591369321029,17.907472372458507
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,BRA,Species_Humans,66.6061873644301,52.63742934789906,13.96875801653104
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,BRA,Gender_Female,57.3001550421383,51.182231297368396,6.117923744769904
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,BRA,Fitness_Fit,54.40535066898907,50.24165489895341,4.163695770035659
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,MEX,Utilitarianism_More,74.8079603277905,41.88045359537063,32.927506732419864
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,MEX,Species_Humans,73.51089928332725,47.35148423114969,26.159415052177557
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,MEX,SocialValue_High,69.57387786903246,43.887652742992344,25.686225126040114
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,MEX,Age_Young,75.21584517573521,50.93747864277234,24.27836653296287
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,MEX,Fitness_Fit,58.8650744273124,48.60649135646902,10.258583070843379
unsloth/Meta-Llama-3.1-70B-Instruct-bnb-4bit,EXP-24-LLAMA31_70B_dual_pass,MEX,Gender_Female,57.00669423286785,50.25013591875393,6.756558314113924
