country,phenomenon_category,preferred_on_right,z_a,z_b,raw_logit_gap,p_left,p_right,decision_entropy,decision_margin
GBR,Fitness,0,-11.321694374084473,-80.0,-68.67830657958984,1.0,1.4907006219274861e-30,0.0,1.0
GBR,Species,0,-80.0,-6.987027645111084,73.01296997070312,1.9537547772919625e-32,1.0,0.0,1.0
GBR,SocialValue,0,-11.5044527053833,-80.0,-68.49554443359375,1.0,1.78962902342069e-30,0.0,1.0
GBR,SocialValue,0,-11.95772933959961,-80.0,-68.04226684570312,1.0,2.815911387564288e-30,0.0,1.0
GBR,SocialValue,0,-11.672159194946289,-80.0,-68.32784271240234,1.0,2.116386360293905e-30,0.0,1.0
GBR,SocialValue,1,-11.542241096496582,-80.0,-68.45775604248047,1.0,1.85855023203991e-30,0.0,1.0
GBR,SocialValue,0,-11.516568183898926,-80.0,-68.48342895507812,1.0,1.8114431893064135e-30,0.0,1.0
GBR,Age,0,-14.414619445800781,-80.0,-65.58538055419922,1.0,3.285724355678337e-29,0.0,1.0
GBR,Fitness,1,-12.030447959899902,-80.0,-67.96955108642578,1.0,3.0283010234245318e-30,0.0,1.0
GBR,SocialValue,0,-12.310335159301758,-80.0,-67.68966674804688,1.0,4.0063717563030526e-30,0.0,1.0
GBR,SocialValue,0,-12.025235176086426,-80.0,-67.97476196289062,1.0,3.012562000422954e-30,0.0,1.0
GBR,Gender,1,-11.307502746582031,-80.0,-68.69249725341797,1.0,1.4696958544319648e-30,0.0,1.0
GBR,Utilitarianism,1,-80.0,-3.9249937534332275,76.07500457763672,9.14208680763875e-34,1.0,0.0,1.0
GBR,Utilitarianism,0,-80.0,-10.601629257202148,69.39836883544922,7.255566788077609e-31,1.0,0.0,1.0
GBR,Fitness,0,-11.408050537109375,-80.0,-68.59194946289062,1.0,1.6251551704073084e-30,0.0,1.0
GBR,Utilitarianism,1,-80.0,-3.9376180171966553,76.06238555908203,9.258181568461836e-34,1.0,0.0,1.0
GBR,Species,0,-80.0,-7.762007236480713,72.23799133300781,4.24071400777366e-32,1.0,0.0,1.0
GBR,Gender,1,-10.876396179199219,-80.0,-69.12360382080078,1.0,9.549932397040815e-31,0.0,1.0
GBR,Gender,0,-13.716629981994629,-80.0,-66.28337097167969,1.0,1.6349246381293088e-29,0.0,1.0
GBR,Gender,0,-11.061970710754395,-80.0,-68.93802642822266,1.0,1.14972911332458e-30,0.0,1.0
GBR,SocialValue,0,-12.112873077392578,-80.0,-67.88713073730469,1.0,3.288468956312366e-30,0.0,1.0
