country,phenomenon_category,preferred_on_right,z_a,z_b,raw_logit_gap,p_left,p_right,decision_entropy,decision_margin
CHN,Fitness,0,-11.976548194885254,-80.0,-68.02345275878906,1.0,2.8693916785492988e-30,0.0,1.0
CHN,Species,0,-80.0,-3.530134916305542,76.46986389160156,6.159707488566388e-34,1.0,0.0,1.0
CHN,SocialValue,0,-80.0,-13.179709434509277,66.8202896118164,9.556896965970567e-30,1.0,0.0,1.0
CHN,SocialValue,0,-80.0,-12.297491073608398,67.70250701904297,3.955257876505569e-30,1.0,0.0,1.0
CHN,SocialValue,0,-80.0,-13.742599487304688,66.25740051269531,1.6779405843637515e-29,1.0,0.0,1.0
CHN,SocialValue,1,-11.07772159576416,-80.0,-68.92227935791016,1.0,1.1679772995476491e-30,0.0,1.0
CHN,SocialValue,0,-13.381954193115234,-80.0,-66.6180419921875,1.0,1.1699087025937338e-29,0.0,1.0
CHN,Age,0,-80.0,-14.503897666931152,65.49610137939453,3.5925647181243267e-29,1.0,0.0,1.0
CHN,Fitness,1,-80.0,-14.916781425476074,65.08322143554688,5.428952762719031e-29,1.0,0.0,1.0
CHN,SocialValue,0,-80.0,-10.133827209472656,69.86617279052734,4.544715067058741e-31,1.0,0.0,1.0
CHN,SocialValue,0,-13.404879570007324,-80.0,-66.59512329101562,1.0,1.1970310624253978e-29,0.0,1.0
CHN,Gender,1,-13.022466659545898,-80.0,-66.97753143310547,1.0,8.166344701151217e-30,0.0,1.0
CHN,Utilitarianism,1,-80.0,-6.280087471008301,73.71990966796875,9.634962221717927e-33,1.0,0.0,1.0
CHN,Utilitarianism,0,-80.0,-8.241616249084473,71.75838470458984,6.850613568647299e-32,1.0,0.0,1.0
CHN,Fitness,0,-12.56510066986084,-80.0,-67.43489837646484,1.0,5.168871346215418e-30,0.0,1.0
CHN,Utilitarianism,1,-80.0,-3.26200795173645,76.73799133300781,4.711007587626365e-34,1.0,0.0,1.0
CHN,Species,0,-80.0,-4.466437339782715,75.53356170654297,1.571053342661772e-33,1.0,0.0,1.0
CHN,Gender,1,-12.932727813720703,-80.0,-67.06727600097656,1.0,7.46538368998187e-30,0.0,1.0
CHN,Gender,0,-9.790080070495605,-80.0,-70.20992279052734,1.0,3.2226857063527787e-31,0.0,1.0
CHN,Gender,0,-80.0,-13.820103645324707,66.17989349365234,1.8131656929004249e-29,1.0,0.0,1.0
