country,baseline,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
USA,B3_long,Fitness,0,0.0,3,3
USA,B3_long,Species,0,0.0,3,3
USA,B3_long,SocialValue,0,0.0,3,3
USA,B3_long,SocialValue,0,0.0,3,3
USA,B3_long,SocialValue,0,0.0,5,5
USA,B3_long,SocialValue,1,1.0,2,2
USA,B3_long,SocialValue,0,0.0,3,3
USA,B3_long,Age,0,0.0,1,1
USA,B3_long,Fitness,1,1.0,3,3
USA,B3_long,SocialValue,0,0.0,4,4
USA,B3_long,SocialValue,0,0.0,2,2
USA,B3_long,Gender,1,1.0,5,5
USA,B3_long,Utilitarianism,1,1.0,4,5
USA,B3_long,Utilitarianism,0,0.0,4,1
USA,B3_long,Fitness,0,0.0,4,4
USA,B3_long,Utilitarianism,1,1.0,2,5
USA,B3_long,Species,0,0.06008664518594742,4,4
USA,B3_long,Gender,1,1.0,3,3
USA,B3_long,Gender,0,0.0,1,1
USA,B3_long,Gender,0,0.0,4,4
USA,B3_long,SocialValue,0,0.0,1,1
USA,B3_long,Gender,0,0.0,3,3
USA,B3_long,Gender,1,1.0,5,5
USA,B3_long,Age,0,0.0,4,4
USA,B3_long,SocialValue,0,0.0,1,1
USA,B3_long,Age,1,1.0,3,3
USA,B3_long,Gender,1,1.0,3,3
USA,B3_long,SocialValue,1,1.0,5,5
USA,B3_long,Fitness,0,0.0,4,4
USA,B3_long,Fitness,0,0.0,2,2
USA,B3_long,Gender,0,0.0,5,5
USA,B3_long,Species,0,0.9947798252105713,1,1
USA,B3_long,SocialValue,0,0.0,2,2
USA,B3_long,Fitness,0,0.0,3,3
USA,B3_long,SocialValue,1,1.0,4,4
USA,B3_long,Gender,1,0.0,1,1
USA,B3_long,SocialValue,1,1.0,4,4
USA,B3_long,Species,0,0.0,5,5
USA,B3_long,Age,1,1.0,5,5
USA,B3_long,Gender,1,1.0,1,1
USA,B3_long,SocialValue,0,0.0,5,5
USA,B3_long,SocialValue,1,1.0,4,4
USA,B3_long,Age,1,1.0,2,2
USA,B3_long,Fitness,1,1.0,4,4
USA,B3_long,Utilitarianism,1,1.0,2,4
USA,B3_long,Age,0,0.0,5,5
USA,B3_long,Age,0,0.0,4,4
USA,B3_long,Species,0,0.01798621006309986,2,2
USA,B3_long,Fitness,0,0.0,5,5
USA,B3_long,SocialValue,1,1.0,5,5
USA,B3_long,Gender,0,0.0,2,2
USA,B3_long,Fitness,0,0.0,5,5
USA,B3_long,Gender,1,0.0,4,4
USA,B3_long,SocialValue,0,0.0,2,2
USA,B3_long,Age,1,1.0,4,4
USA,B3_long,Fitness,1,1.0,2,2
USA,B3_long,Utilitarianism,1,1.0,2,3
USA,B3_long,Age,0,0.0,3,3
USA,B3_long,Age,1,1.0,4,4
USA,B3_long,Age,0,0.0,3,3
USA,B3_long,Age,0,0.0,5,5
USA,B3_long,Gender,0,0.0,1,1
