country,baseline,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
BGD,B3_long,Fitness,0,0.0,3,3
BGD,B3_long,Species,0,0.005220125429332256,3,3
BGD,B3_long,SocialValue,0,0.0,3,3
BGD,B3_long,SocialValue,0,0.0,3,3
BGD,B3_long,SocialValue,0,1.0,5,5
BGD,B3_long,SocialValue,1,1.0,2,2
BGD,B3_long,SocialValue,0,0.6791787147521973,3,3
BGD,B3_long,Age,0,0.0,1,1
BGD,B3_long,Fitness,1,1.0,3,3
BGD,B3_long,SocialValue,0,0.0,4,4
BGD,B3_long,SocialValue,0,0.562176525592804,2,2
BGD,B3_long,Gender,1,1.0,5,5
BGD,B3_long,Utilitarianism,1,1.0,4,5
BGD,B3_long,Utilitarianism,0,0.0,4,1
BGD,B3_long,Fitness,0,0.0,4,4
BGD,B3_long,Utilitarianism,1,1.0,2,5
BGD,B3_long,Species,0,0.3775406777858734,4,4
BGD,B3_long,Gender,1,1.0,3,3
BGD,B3_long,Gender,0,0.7772998809814453,1,1
BGD,B3_long,Gender,0,0.0,4,4
BGD,B3_long,SocialValue,0,0.0,1,1
BGD,B3_long,Gender,0,0.0,3,3
BGD,B3_long,Gender,1,1.0,5,5
BGD,B3_long,Age,0,0.0,4,4
BGD,B3_long,SocialValue,0,0.9914225339889526,1,1
BGD,B3_long,Age,1,1.0,3,3
BGD,B3_long,Gender,1,1.0,3,3
BGD,B3_long,SocialValue,1,0.09534946084022522,5,5
BGD,B3_long,Fitness,0,0.0,4,4
BGD,B3_long,Fitness,0,0.0,2,2
BGD,B3_long,Gender,0,0.0,5,5
BGD,B3_long,Species,0,0.9996646642684937,1,1
BGD,B3_long,SocialValue,0,0.0,2,2
BGD,B3_long,Fitness,0,0.0,3,3
BGD,B3_long,SocialValue,1,0.6791787147521973,4,4
BGD,B3_long,Gender,1,1.0,1,1
BGD,B3_long,SocialValue,1,1.0,4,4
BGD,B3_long,Species,0,0.0,5,5
BGD,B3_long,Age,1,1.0,5,5
BGD,B3_long,Gender,1,1.0,1,1
BGD,B3_long,SocialValue,0,0.0,5,5
BGD,B3_long,SocialValue,1,1.0,4,4
BGD,B3_long,Age,1,1.0,2,2
BGD,B3_long,Fitness,1,1.0,4,4
BGD,B3_long,Utilitarianism,1,1.0,2,4
BGD,B3_long,Age,0,0.0,5,5
BGD,B3_long,Age,0,0.0,4,4
BGD,B3_long,Species,0,0.07585817575454712,2,2
BGD,B3_long,Fitness,0,0.0,5,5
BGD,B3_long,SocialValue,1,1.0,5,5
BGD,B3_long,Gender,0,0.0,2,2
BGD,B3_long,Fitness,0,0.6791787147521973,5,5
BGD,B3_long,Gender,1,1.0,4,4
BGD,B3_long,SocialValue,0,0.0,2,2
BGD,B3_long,Age,1,1.0,4,4
BGD,B3_long,Fitness,1,1.0,2,2
BGD,B3_long,Utilitarianism,1,1.0,2,3
BGD,B3_long,Age,0,0.0,3,3
BGD,B3_long,Age,1,1.0,4,4
BGD,B3_long,Age,0,0.0,3,3
BGD,B3_long,Age,0,0.0,5,5
BGD,B3_long,Gender,0,0.0,1,1
BGD,B3_long,Gender,0,0.0,1,1
BGD,B3_long,Gender,1,1.0,5,5
BGD,B3_long,Fitness,0,0.0,5,5
BGD,B3_long,Fitness,1,1.0,1,1
BGD,B3_long,Age,0,0.04742587357759476,2,2
BGD,B3_long,SocialValue,0,0.0,3,3
BGD,B3_long,Gender,1,1.0,5,5
BGD,B3_long,SocialValue,0,0.0,1,1
BGD,B3_long,Gender,0,0.0,1,1
BGD,B3_long,Species,1,1.0,2,2
BGD,B3_long,Age,0,0.0,5,5
BGD,B3_long,SocialValue,1,1.0,5,5
BGD,B3_long,SocialValue,1,1.0,1,1
BGD,B3_long,Fitness,1,1.0,5,5
BGD,B3_long,SocialValue,1,1.0,4,4
BGD,B3_long,Gender,0,0.0,3,3
BGD,B3_long,Gender,0,0.0,1,1
BGD,B3_long,Age,0,0.0,3,3
BGD,B3_long,Fitness,1,1.0,3,3
BGD,B3_long,Age,1,1.0,2,2
BGD,B3_long,Gender,0,0.0,4,4
BGD,B3_long,Gender,1,1.0,2,2
BGD,B3_long,SocialValue,1,1.0,1,1
BGD,B3_long,Age,1,1.0,3,3
BGD,B3_long,SocialValue,1,1.0,3,3
BGD,B3_long,Gender,0,0.0,4,4
BGD,B3_long,Age,0,0.0,3,3
BGD,B3_long,Fitness,1,1.0,2,2
BGD,B3_long,Species,0,0.037326887249946594,1,1
BGD,B3_long,Gender,0,0.0,5,5
BGD,B3_long,SocialValue,0,0.43782350420951843,5,5
BGD,B3_long,Utilitarianism,0,0.622459352016449,4,2
BGD,B3_long,Fitness,1,1.0,3,3
BGD,B3_long,SocialValue,0,1.0,4,4
BGD,B3_long,Species,0,0.0002611903182696551,2,2
BGD,B3_long,Species,1,1.0,3,3
BGD,B3_long,Fitness,1,1.0,4,4
BGD,B3_long,Fitness,1,1.0,5,5
BGD,B3_long,SocialValue,1,1.0,3,3
BGD,B3_long,SocialValue,1,1.0,4,4
BGD,B3_long,Fitness,1,1.0,1,1
BGD,B3_long,SocialValue,1,1.0,2,2
BGD,B3_long,Species,1,1.0,5,5
BGD,B3_long,SocialValue,1,1.0,3,3
BGD,B3_long,Gender,0,0.0,3,3
BGD,B3_long,Fitness,0,0.0,3,3
BGD,B3_long,SocialValue,1,1.0,5,5
BGD,B3_long,Gender,1,1.0,5,5
BGD,B3_long,SocialValue,1,1.0,1,1
BGD,B3_long,SocialValue,0,0.9399133324623108,2,2
BGD,B3_long,Age,1,1.0,5,5
BGD,B3_long,Gender,1,1.0,4,4
BGD,B3_long,Fitness,0,0.9046505093574524,4,4
BGD,B3_long,Gender,0,0.0,5,5
BGD,B3_long,Species,1,1.0,1,1
BGD,B3_long,Fitness,1,1.0,3,3
BGD,B3_long,SocialValue,1,1.0,5,5
