method,country,n_scenarios,elapsed_sec,align_n_criteria,align_mis,align_jsd,align_cosine_sim,align_pearson_r,align_pearson_p,align_spearman_rho,align_spearman_p,align_mae,align_rmse,diffpo_alpha,cal_loss,n_cal,n_test
diffpo_binary,USA,310,3.3149805068969727,6,3.1401849173675503e-16,7.750112705408207e-09,0.9999999999999998,1.0,0.0,1.0,0.0,5.921189464667502e-15,1.0458905879232634e-14,1.0,1.9229626863835638e-16,78,232
diffpo_binary,GBR,310,2.280714511871338,6,2.9373740229761033e-16,4.474529656717367e-09,1.0000000000000002,0.9999999999999997,2.958228394578794e-31,1.0,0.0,9.473903143468002e-15,1.2306961192854808e-14,1.0,1.5700924586837752e-16,78,232
diffpo_binary,DEU,310,2.6394643783569336,6,4.440892098500626e-16,1.333513753627946e-16,1.0,1.0,0.0,1.0,0.0,1.1842378929335004e-14,1.479112654199449e-14,1.0,1.5700924586837752e-16,78,232
diffpo_binary,ARG,310,2.5419232845306396,6,2.482534153247273e-16,8.166070653429869e-17,1.0,1.0,0.0,1.0,0.0,5.921189464667502e-15,1.1960216447877389e-14,1.0,1.9229626863835638e-16,78,232
diffpo_binary,BRA,310,2.4459574222564697,6,2.7194799110210365e-16,0.0,1.0,0.9999999999999999,0.0,1.0,0.0,8.289665250534503e-15,1.1960216447877389e-14,1.0,1.5700924586837752e-16,78,232
diffpo_binary,MEX,310,2.369286060333252,6,2.9373740229761033e-16,,0.9999999999999998,1.0,0.0,1.0,0.0,8.289665250534503e-15,1.0458905879232634e-14,1.0,2.7194799110210365e-16,78,232
diffpo_binary,COL,310,2.0090901851654053,6,3.3306690738754696e-16,1.2473878966566626e-16,1.0000000000000002,1.0,0.0,1.0,0.0,1.0658141036401503e-14,1.5621170677909075e-14,1.0,1.9229626863835638e-16,78,232
diffpo_binary,VNM,310,2.9438915252685547,6,2.482534153247273e-16,,0.9999999999999999,1.0,0.0,1.0,0.0,4.736951571734001e-15,8.204640795236539e-15,1.0,3.3306690738754696e-16,78,232
diffpo_binary,MMR,310,2.142771005630493,6,1.9229626863835638e-16,6.3279405257703295e-09,1.0,1.0,0.0,1.0,0.0,5.921189464667502e-15,8.702335715267317e-15,1.0,2.482534153247273e-16,78,232
diffpo_binary,THA,310,2.0341947078704834,6,4.1540741810552243e-16,,1.0,1.0,0.0,1.0,0.0,1.0658141036401503e-14,1.5621170677909075e-14,1.0,2.482534153247273e-16,78,232
diffpo_binary,MYS,310,1.986546277999878,6,3.1401849173675503e-16,6.32794052577033e-09,1.0,1.0,0.0,1.0,0.0,7.105427357601002e-15,1.2972676148241318e-14,1.0,2.7194799110210365e-16,78,232
diffpo_binary,IDN,310,2.395623207092285,6,2.220446049250313e-16,,1.0000000000000002,1.0,0.0,1.0,0.0,7.105427357601002e-15,9.173067274558417e-15,1.0,2.7194799110210365e-16,78,232
diffpo_binary,CHN,310,2.439460277557373,6,1.5700924586837752e-16,,0.9999999999999998,1.0,0.0,1.0,0.0,4.736951571734001e-15,8.204640795236539e-15,1.0,1.1102230246251565e-16,78,232
diffpo_binary,JPN,310,3.053680419921875,6,2.482534153247273e-16,6.32794052577033e-09,1.0,0.9999999999999998,7.395570986446986e-32,1.0,0.0,5.921189464667502e-15,1.1960216447877389e-14,1.0,2.7194799110210365e-16,78,232
diffpo_binary,BGD,310,1.9988350868225098,6,2.9373740229761033e-16,,1.0,1.0,0.0,1.0,0.0,8.289665250534503e-15,1.0458905879232634e-14,1.0,2.7194799110210365e-16,78,232
diffpo_binary,IRN,310,3.251239061355591,6,4.002966042486721e-16,6.66756876813973e-17,1.0,0.9999999999999998,7.395570986446986e-32,1.0,0.0,8.289665250534503e-15,1.4503892858778863e-14,1.0,1.5700924586837752e-16,78,232
diffpo_binary,SRB,310,1.9622950553894043,6,3.6821932062951477e-16,4.7146830899792384e-17,1.0,1.0,0.0,1.0,0.0,8.289665250534503e-15,1.3293037379376718e-14,1.0,2.7194799110210365e-16,78,232
diffpo_binary,ROU,310,1.9662816524505615,6,2.482534153247273e-16,4.474529656717368e-09,0.9999999999999999,0.9999999999999999,0.0,1.0,0.0,3.552713678800501e-15,6.486338074120659e-15,1.0,1.9229626863835638e-16,78,232
diffpo_binary,KGZ,310,2.0029287338256836,6,2.482534153247273e-16,4.474529656717368e-09,1.0,0.9999999999999997,2.958228394578794e-31,1.0,0.0,3.552713678800501e-15,6.486338074120659e-15,1.0,1.1102230246251565e-16,78,232
diffpo_binary,ETH,310,1.9606208801269531,6,2.220446049250313e-16,,1.0,1.0,0.0,1.0,0.0,7.105427357601002e-15,9.173067274558417e-15,1.0,1.5700924586837752e-16,78,232
