model,method,country,dimension,human,model_mpr,abs_err
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,USA,SocialValue_High,67.9307274803549,46.32784331136529,21.60288416898961
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,USA,Utilitarianism_More,76.5524214999873,57.364012750539054,19.18840874944825
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,USA,Age_Young,74.5377281560045,55.61139370202122,18.926334453983287
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,USA,Species_Humans,79.20219438265315,69.37861173019391,9.823582652459237
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,USA,Gender_Female,56.0298882980414,47.05879550216574,8.971092795875663
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,USA,Fitness_Fit,58.8095535738558,53.38778264578718,5.421770928068618
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,GBR,SocialValue_High,67.6880909457592,43.64051122478913,24.04757972097007
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,GBR,Utilitarianism_More,76.9693326806953,56.74833725603231,20.220995424662995
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,GBR,Age_Young,75.1475184681438,58.524954984660084,16.622563483483717
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,GBR,Species_Humans,79.86732647450006,67.88956083410682,11.977765640393244
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,GBR,Fitness_Fit,59.827081815426396,54.0763984018255,5.750683413600896
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,GBR,Gender_Female,54.830638199490686,49.16481944266863,5.6658187568220555
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,DEU,Species_Humans,82.44449804706495,61.58252202010571,20.86197602695924
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,DEU,Utilitarianism_More,75.14357520664106,58.54556389621941,16.598011310421647
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,DEU,SocialValue_High,64.736481239021,49.129152214371736,15.607329024649268
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,DEU,Age_Young,73.9074790565083,59.25395896983978,14.653520086668514
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,DEU,Gender_Female,54.73683229587576,50.52064747799948,4.216184817876275
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,DEU,Fitness_Fit,57.12210350834395,57.221300180062364,0.09919667171841695
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,ARG,SocialValue_High,68.53593047136175,45.766471725478866,22.769458745882886
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,ARG,Age_Young,75.14002897670564,58.13031855984592,17.00971041685972
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,ARG,Utilitarianism_More,74.99986128876151,61.042220160841,13.95764112792051
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,ARG,Gender_Female,57.032990046600695,46.01581526702696,11.017174779573736
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,ARG,Species_Humans,69.52456706948846,64.33203620940502,5.192530860083437
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,ARG,Fitness_Fit,58.04538742118584,53.54944420480978,4.495943216376062
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,BRA,Age_Young,73.59076653683455,53.84763379985558,19.74313273697897
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,BRA,SocialValue_High,66.3433860656688,49.0118937099092,17.331492355759593
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,BRA,Utilitarianism_More,73.71591025897145,58.8693089136281,14.846601345343345
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,BRA,Gender_Female,57.3001550421383,48.13606995990153,9.164085082236767
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,BRA,Species_Humans,66.6061873644301,62.151273095687486,4.454914268742613
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,BRA,Fitness_Fit,54.40535066898907,55.69956057878358,1.2942099097945103
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MEX,SocialValue_High,69.57387786903246,47.05574588074825,22.51813198828421
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MEX,Age_Young,75.21584517573521,59.42426678124612,15.791578394489093
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MEX,Utilitarianism_More,74.8079603277905,62.749390541124406,12.05856978666609
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MEX,Gender_Female,57.00669423286785,46.687767974411564,10.318926258456287
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MEX,Species_Humans,73.51089928332725,64.88758645897687,8.623312824350378
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MEX,Fitness_Fit,58.8650744273124,53.966121462700954,4.898952964611446
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,COL,SocialValue_High,72.74717296106235,46.400214612146286,26.34695834891606
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,COL,Age_Young,76.29284986160825,59.55891321856487,16.73393664304338
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,COL,Utilitarianism_More,75.80338277866436,60.588560668790706,15.214822109873651
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,COL,Gender_Female,57.815395500653246,47.12654916046382,10.688846340189428
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,COL,Fitness_Fit,59.9335818193818,54.13655322665556,5.797028592726242
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,COL,Species_Humans,66.6784983800857,64.34058605467288,2.337912325412816
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,VNM,Age_Young,72.72528264808984,47.179810474640135,25.54547217344971
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,VNM,SocialValue_High,68.98151465777724,54.57211301926112,14.409401638516123
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,VNM,Species_Humans,77.72253006105205,65.2324827858469,12.490047275205157
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,VNM,Gender_Female,56.824729929568896,46.22725809375797,10.597471835810929
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,VNM,Utilitarianism_More,73.6205203750259,65.13868062170944,8.481839753316464
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,VNM,Fitness_Fit,57.972196212438355,55.57306398992562,2.3991322225127334
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MMR,Utilitarianism_More,78.70192179745325,54.9204958818317,23.781425915621554
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MMR,SocialValue_High,64.46905071498131,45.49261017532417,18.97644053965714
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MMR,Age_Young,75.90055057126965,57.76656854561174,18.133982025657907
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MMR,Species_Humans,71.5585123070076,65.52081500424228,6.037697302765324
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MMR,Gender_Female,53.994610055520134,48.217499786508796,5.777110269011338
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MMR,Fitness_Fit,52.62920706981218,55.08827965154569,2.4590725817335084
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,THA,SocialValue_High,65.11693381725195,46.587121401157695,18.529812416094252
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,THA,Utilitarianism_More,70.33858535076145,55.87305916156813,14.46552618919332
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,THA,Species_Humans,79.6882802566394,67.11018159322616,12.578098663413243
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,THA,Age_Young,68.14230782023834,57.215875554079624,10.92643226615872
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,THA,Gender_Female,54.565330615331675,48.3078829390035,6.2574476763281766
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,THA,Fitness_Fit,55.1734060221043,54.964767715585104,0.20863830651919812
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MYS,SocialValue_High,67.444669761838,45.7851370498758,21.6595327119622
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MYS,Utilitarianism_More,72.03272065196305,57.275964908404184,14.756755743558863
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MYS,Age_Young,69.49234891789176,57.28810412957546,12.204244788316302
mistralai/Magistral-Small-2509,EXP-24-MAGISTRAL_SMALL_2509_dual_pass,MYS,Species_Humans,76.63382757939941,67.40251113847702,9.231316440922384
