model,method,country,align_n_criteria,align_mis,align_jsd,align_cosine_sim,align_pearson_r,align_pearson_p,align_spearman_rho,align_spearman_p,align_mae,align_rmse,flip_rate,n_scenarios,final_delta_country,final_alpha_h,mean_reliability_r,mean_bootstrap_var,mean_ess_pass1,mean_ess_pass2,mean_ess_anchor_alpha,std_reliability_r,std_bootstrap_var,mean_positional_bias,utilitarianism_slope_hat,utilitarianism_slope_n
unsloth/gemma-3-270m-it,baseline_vanilla,USA,6,0.5094485358421648,0.055070507917374396,0.33570573253947145,0.33570573253947156,0.5153581403922585,0.3714285714285715,0.46847813411078715,18.843752167693683,20.79814938368818,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,USA,6,0.5065937303824367,0.05451227695138783,0.16783808486042073,0.16783808486042073,0.7506068404744586,0.2571428571428572,0.6227871720116618,18.751212052906617,20.68160243883409,0.267741935483871,310,0.15448980048120964,0.9279215377612339,0.9917763374459428,0.00033373898207288117,0.4604945602916902,0.4581341036865788,0.4321877948699459,0.012794228425716493,0.000529434631874311,-6.090725806451613,0.009985814389281273,20
unsloth/gemma-3-270m-it,baseline_vanilla,GBR,6,0.5181288381226767,0.05739401554814855,0.33706595610054074,0.3370659561005407,0.5135486804009356,0.3714285714285715,0.46847813411078715,19.054998033213412,21.15252124036104,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,GBR,6,0.5175570563605226,0.05668728497448002,0.1735227768976759,0.1735227768976759,0.7423282334298085,0.2571428571428572,0.6227871720116618,19.079048164170043,21.12917834766926,0.22580645161290322,310,0.1608366317890764,0.9279215377612339,0.9905449687224411,0.00038428625630393767,0.4649674478557802,0.4600536567068869,0.4358506316138852,0.0143293268040944,0.0005904742884562388,-6.085735887096774,0.004539465999964461,20
unsloth/gemma-3-270m-it,baseline_vanilla,DEU,6,0.5046509139034392,0.06275065942127156,-0.7185874373040264,-0.7185874373040266,0.10764658884234408,-0.6571428571428573,0.15617492711370237,18.015094065555658,20.60228728821052,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,DEU,6,0.4978373345649944,0.06100890414419842,0.6443735889947937,0.6443735889947938,0.16721715456529723,0.7142857142857143,0.1107871720116617,17.813727027836062,20.32412407652452,0.1870967741935484,310,0.15872973087566994,0.9279215377612339,0.9926341389966035,0.0002980619020689944,0.4312677693463141,0.43002334977349926,0.40515132310890384,0.010630242651261956,0.0004354947823649759,-4.073462701612903,0.008414185480810325,20
unsloth/gemma-3-270m-it,baseline_vanilla,ARG,6,0.4578203119163061,0.04658782858996586,-0.5580671585412111,-0.5580671585412113,0.24980118809146895,-0.7714285714285715,0.07239650145772594,17.213125624414825,18.69043596794645,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,ARG,6,0.4525285005290884,0.045965081060935685,0.2924929981513966,0.2924929981513967,0.5737722057790506,0.3714285714285715,0.46847813411078715,17.011994828745024,18.474398672717566,0.13548387096774195,310,0.1857929715675773,0.9279215377612339,0.9908110101455135,0.0003734355805629634,0.4963597434182321,0.4924573969456457,0.46827088892459867,0.014140740569425264,0.0005831145586848751,-5.40241935483871,-0.004559390275311569,20
unsloth/gemma-3-270m-it,baseline_vanilla,BRA,6,0.4164780558077283,0.04836392369798321,0.5227617224505219,0.5227617224505218,0.2872875306286279,0.6,0.20799999999999982,15.32695901309989,17.002645429921838,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,BRA,6,0.40372312772894225,0.04621803997389461,0.4565090215384955,0.4565090215384954,0.362804818838546,0.6,0.20799999999999982,14.87114304197305,16.48192767160645,0.0,310,0.43874629514672314,0.9279215377612339,0.9864250888257666,0.0005579720331276986,0.5724374687479389,0.5754906994681205,0.5498558266508964,0.022842154484215716,0.0009629983162660425,-6.195715725806451,0.0016114580612882638,20
unsloth/gemma-3-270m-it,baseline_vanilla,MEX,6,0.48112947578950743,0.04741470753276744,-0.6136213789458735,-0.6136213789458738,0.1950917276486132,-0.7714285714285715,0.07239650145772594,18.163389964741786,19.642028598284096,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,MEX,6,0.4796287313318534,0.048447036520654185,-0.1676163685919305,-0.16761636859193058,0.7509300587521925,0.028571428571428574,0.9571545189504373,18.05066042468169,19.58076096235806,0.12580645161290321,310,0.17945293292299352,0.9279215377612339,0.9904521745349447,0.00038826544355485896,0.49502489239938796,0.48426343361216206,0.46356090398565414,0.014628862208504153,0.000607982941557399,-5.402469758064516,-0.0022127071529984077,20
unsloth/gemma-3-270m-it,baseline_vanilla,COL,6,0.48088363913228005,0.046081755718095724,-0.3609031723166321,-0.36090317231663216,0.4821492590806993,-0.5428571428571429,0.26570262390670557,18.211811628973457,19.631992358779456,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,COL,6,0.47428820427480883,0.04547951835503212,0.21889423000479735,0.21889423000479732,0.6769027789151278,0.2571428571428572,0.6227871720116618,17.95393366588799,19.362734858236614,0.16451612903225807,310,0.15630603290772377,0.9279215377612339,0.9919835147507958,0.00032516028578621404,0.49441820061014546,0.49937492637865005,0.47272670677592676,0.012440274762143278,0.0005104311219700852,-5.394002016129032,0.002353543857698952,20
unsloth/gemma-3-270m-it,baseline_vanilla,VNM,6,0.48096922350904925,0.05010066493581591,0.5283967708762727,0.528396770876273,0.28116986445706377,0.5428571428571429,0.26570262390670557,17.974362140926686,19.6354863263301,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,VNM,6,0.4768971213807425,0.048146670838544445,0.5476135308560637,0.5476135308560638,0.26068903511494645,0.3142857142857143,0.5440932944606414,17.895783327381753,19.46924345308255,0.15161290322580645,310,0.07361387025621462,0.9279215377612339,0.9922138822521265,0.00031549041340292157,0.4116405903331695,0.4104348609043706,0.3853614342308814,0.011642138068796406,0.00047990935241015785,-3.9633316532258065,-0.0030681128142357227,20
unsloth/gemma-3-270m-it,baseline_vanilla,MMR,6,0.4681486242155538,0.06580329719744787,0.039853394281346224,0.03985339428134623,0.9402515580122747,-0.08571428571428573,0.8717434402332361,16.208975358365368,19.112087551900927,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,MMR,6,0.4702429972679406,0.06683845802666158,-0.18247154478117203,-0.182471544781172,0.7293304567574376,-0.14285714285714288,0.7871720116618075,16.23443355981028,19.19758997372398,0.2870967741935484,310,0.1934437259817909,0.9279215377612339,0.9926551204335422,0.00029718681309235707,0.4438758942869402,0.4408781696711817,0.41695244211343024,0.010567319958380707,0.0004326285019903079,-6.087550403225807,0.005963551558324185,20
unsloth/gemma-3-270m-it,baseline_vanilla,THA,6,0.4359269916369024,0.05664625275105612,0.47395581169867945,0.4739558116986795,0.3422996037640592,0.3714285714285715,0.46847813411078715,15.5041405860792,17.79664491028201,,310,,,,,,,,,,,,0
unsloth/gemma-3-270m-it,EXP-24-GEMMA3_270M_dual_pass,THA,6,0.43180616500269003,0.055669426208610276,0.22518251646305013,0.2251825164630501,0.6679354088952653,0.14285714285714288,0.7871720116618075,15.386590212607913,17.628412867410496,0.08064516129032258,310,0.2271663873239453,0.9279215377612339,0.9921911253188327,0.0003167268013986662,0.42799453634408213,0.4282782349855669,0.40312174947992446,0.01226138319747506,0.0005066874459517747,-6.09773185483871,0.010570516823789457,20
unsloth/gemma-3-270m-it,baseline_vanilla,MYS,6,0.44244005169318,0.0502116975225177,0.4222453677437237,0.4222453677437237,0.4042732546056843,0.3714285714285715,0.46847813411078715,16.31778681387276,18.062539473648393,,310,,,,,,,,,,,,0
