method,K,country,n_scenarios,elapsed_sec,sec_per_scen,gpu_peak_gb,flip_rate
vanilla,0,USA,310,7.545492402999912,0.024340298074193266,0.001125888,
swa_dpbr,64,USA,310,25.16615626800001,0.08118114925161293,0.002043904,0.3258064516129032
swa_dpbr,128,USA,310,24.058885028999953,0.07760930654516114,0.002043904,0.3193548387096774
swa_dpbr,256,USA,310,23.35625911799991,0.07534277134838681,0.002043904,0.3258064516129032
vanilla,0,VNM,310,7.077353105999919,0.022830171309677155,0.0014464,
swa_dpbr,64,VNM,310,30.089308146999997,0.09706228434516129,0.002084352,0.23225806451612904
swa_dpbr,128,VNM,310,28.790587320999975,0.09287286232580637,0.002084352,0.22258064516129034
swa_dpbr,256,VNM,310,29.199075504000007,0.09419056614193551,0.002084352,0.22903225806451613
vanilla,0,DEU,310,6.871478421999996,0.022166059425806437,0.001285632,
swa_dpbr,64,DEU,310,24.68343104600001,0.07962397111612907,0.002061824,0.267741935483871
swa_dpbr,128,DEU,310,24.21713404700006,0.07811978724838729,0.002061824,0.2709677419354839
swa_dpbr,256,DEU,310,24.275516866999965,0.07830811892580634,0.002061824,0.2806451612903226
