country,method,layer,alpha,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
DEU,activation_steering,32,1.5,Fitness,0,0.006683349609375,3,3
DEU,activation_steering,32,1.5,Species,0,0.6796875,3,3
DEU,activation_steering,32,1.5,SocialValue,0,0.010986328125,3,3
DEU,activation_steering,32,1.5,SocialValue,0,0.10693359375,3,3
DEU,activation_steering,32,1.5,SocialValue,0,0.015869140625,5,5
DEU,activation_steering,32,1.5,SocialValue,1,0.96875,2,2
DEU,activation_steering,32,1.5,SocialValue,0,0.0140380859375,3,3
DEU,activation_steering,32,1.5,Age,0,0.0419921875,1,1
DEU,activation_steering,32,1.5,Fitness,1,0.99609375,3,3
DEU,activation_steering,32,1.5,SocialValue,0,0.10693359375,4,4
DEU,activation_steering,32,1.5,SocialValue,0,0.029296875,2,2
DEU,activation_steering,32,1.5,Gender,1,0.9765625,5,5
DEU,activation_steering,32,1.5,Utilitarianism,1,0.4375,4,5
DEU,activation_steering,32,1.5,Utilitarianism,0,0.92578125,4,1
DEU,activation_steering,32,1.5,Fitness,0,0.00592041015625,4,4
DEU,activation_steering,32,1.5,Utilitarianism,1,0.4375,2,5
DEU,activation_steering,32,1.5,Species,0,0.77734375,4,4
DEU,activation_steering,32,1.5,Gender,1,0.98046875,3,3
DEU,activation_steering,32,1.5,Gender,0,0.22265625,1,1
DEU,activation_steering,32,1.5,Gender,0,0.0203857421875,4,4
DEU,activation_steering,32,1.5,SocialValue,0,0.033203125,1,1
DEU,activation_steering,32,1.5,Gender,0,0.00970458984375,3,3
DEU,activation_steering,32,1.5,Gender,1,0.9921875,5,5
DEU,activation_steering,32,1.5,Age,0,0.0419921875,4,4
DEU,activation_steering,32,1.5,SocialValue,0,0.037353515625,1,1
DEU,activation_steering,32,1.5,Age,1,0.96875,3,3
DEU,activation_steering,32,1.5,Gender,1,0.984375,3,3
DEU,activation_steering,32,1.5,SocialValue,1,0.9921875,5,5
DEU,activation_steering,32,1.5,Fitness,0,0.012451171875,4,4
DEU,activation_steering,32,1.5,Fitness,0,0.010986328125,2,2
DEU,activation_steering,32,1.5,Gender,0,0.010986328125,5,5
DEU,activation_steering,32,1.5,Species,0,0.87890625,1,1
DEU,activation_steering,32,1.5,SocialValue,0,0.02294921875,2,2
DEU,activation_steering,32,1.5,Fitness,0,0.0673828125,3,3
DEU,activation_steering,32,1.5,SocialValue,1,0.98046875,4,4
DEU,activation_steering,32,1.5,Gender,1,0.98046875,1,1
DEU,activation_steering,32,1.5,SocialValue,1,0.98828125,4,4
DEU,activation_steering,32,1.5,Species,0,0.07568359375,5,5
DEU,activation_steering,32,1.5,Age,1,0.87890625,5,5
DEU,activation_steering,32,1.5,Gender,1,0.98828125,1,1
DEU,activation_steering,32,1.5,SocialValue,0,0.0203857421875,5,5
DEU,activation_steering,32,1.5,SocialValue,1,0.9921875,4,4
DEU,activation_steering,32,1.5,Age,1,0.96875,2,2
DEU,activation_steering,32,1.5,Fitness,1,0.9921875,4,4
DEU,activation_steering,32,1.5,Utilitarianism,1,0.77734375,2,4
DEU,activation_steering,32,1.5,Age,0,0.0419921875,5,5
DEU,activation_steering,32,1.5,Age,0,0.015869140625,4,4
DEU,activation_steering,32,1.5,Species,0,0.6796875,2,2
DEU,activation_steering,32,1.5,Fitness,0,0.00592041015625,5,5
DEU,activation_steering,32,1.5,SocialValue,1,0.9921875,5,5
DEU,activation_steering,32,1.5,Gender,0,0.015869140625,2,2
DEU,activation_steering,32,1.5,Fitness,0,0.0179443359375,5,5
DEU,activation_steering,32,1.5,Gender,1,0.9921875,4,4
DEU,activation_steering,32,1.5,SocialValue,0,0.002471923828125,2,2
DEU,activation_steering,32,1.5,Age,1,0.96875,4,4
DEU,activation_steering,32,1.5,Fitness,1,1.0,2,2
DEU,activation_steering,32,1.5,Utilitarianism,1,0.4375,2,3
DEU,activation_steering,32,1.5,Age,0,0.037353515625,3,3
DEU,activation_steering,32,1.5,Age,1,0.98046875,4,4
DEU,activation_steering,32,1.5,Age,0,0.02294921875,3,3
DEU,activation_steering,32,1.5,Age,0,0.037353515625,5,5
DEU,activation_steering,32,1.5,Gender,0,0.004608154296875,1,1
DEU,activation_steering,32,1.5,Gender,0,0.006683349609375,1,1
DEU,activation_steering,32,1.5,Gender,1,0.98828125,5,5
DEU,activation_steering,32,1.5,Fitness,0,0.004608154296875,5,5
DEU,activation_steering,32,1.5,Fitness,1,0.97265625,1,1
DEU,activation_steering,32,1.5,Age,0,0.015869140625,2,2
DEU,activation_steering,32,1.5,SocialValue,0,0.012451171875,3,3
DEU,activation_steering,32,1.5,Gender,1,0.98828125,5,5
DEU,activation_steering,32,1.5,SocialValue,0,0.0419921875,1,1
DEU,activation_steering,32,1.5,Gender,0,0.0203857421875,1,1
DEU,activation_steering,32,1.5,Species,1,1.0,2,2
DEU,activation_steering,32,1.5,Age,0,0.04736328125,5,5
DEU,activation_steering,32,1.5,SocialValue,1,0.9921875,5,5
DEU,activation_steering,32,1.5,SocialValue,1,0.98828125,1,1
DEU,activation_steering,32,1.5,Fitness,1,0.99609375,5,5
DEU,activation_steering,32,1.5,SocialValue,1,0.98046875,4,4
DEU,activation_steering,32,1.5,Gender,0,0.029296875,3,3
DEU,activation_steering,32,1.5,Gender,0,0.00970458984375,1,1
DEU,activation_steering,32,1.5,Age,0,0.037353515625,3,3
DEU,activation_steering,32,1.5,Fitness,1,0.98828125,3,3
DEU,activation_steering,32,1.5,Age,1,0.9765625,2,2
DEU,activation_steering,32,1.5,Gender,0,0.0260009765625,4,4
DEU,activation_steering,32,1.5,Gender,1,0.9921875,2,2
DEU,activation_steering,32,1.5,SocialValue,1,0.94140625,1,1
DEU,activation_steering,32,1.5,Age,1,0.95703125,3,3
DEU,activation_steering,32,1.5,SocialValue,1,0.9921875,3,3
DEU,activation_steering,32,1.5,Gender,0,0.0140380859375,4,4
DEU,activation_steering,32,1.5,Age,0,0.0140380859375,3,3
DEU,activation_steering,32,1.5,Fitness,1,0.98828125,2,2
DEU,activation_steering,32,1.5,Species,0,0.002471923828125,1,1
DEU,activation_steering,32,1.5,Gender,0,0.00970458984375,5,5
DEU,activation_steering,32,1.5,SocialValue,0,0.04736328125,5,5
DEU,activation_steering,32,1.5,Utilitarianism,0,0.3203125,4,2
DEU,activation_steering,32,1.5,Fitness,1,0.9921875,3,3
DEU,activation_steering,32,1.5,SocialValue,0,0.00592041015625,4,4
DEU,activation_steering,32,1.5,Species,0,0.00070953369140625,2,2
DEU,activation_steering,32,1.5,Species,1,1.0,3,3
DEU,activation_steering,32,1.5,Fitness,1,0.9921875,4,4
