country,method,layer,alpha,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
VNM,activation_steering,32,1.5,Fitness,0,3.293156623840332e-06,3,3
VNM,activation_steering,32,1.5,Species,0,5.14984130859375e-05,3,3
VNM,activation_steering,32,1.5,SocialValue,0,8.307397365570068e-07,3,3
VNM,activation_steering,32,1.5,SocialValue,0,8.307397365570068e-07,3,3
VNM,activation_steering,32,1.5,SocialValue,0,8.307397365570068e-07,5,5
VNM,activation_steering,32,1.5,SocialValue,1,1.0,2,2
VNM,activation_steering,32,1.5,SocialValue,0,1.996755599975586e-06,3,3
VNM,activation_steering,32,1.5,Age,0,2.384185791015625e-07,1,1
VNM,activation_steering,32,1.5,Fitness,1,1.0,3,3
VNM,activation_steering,32,1.5,SocialValue,0,1.7583370208740234e-06,4,4
VNM,activation_steering,32,1.5,SocialValue,0,1.7583370208740234e-06,2,2
VNM,activation_steering,32,1.5,Gender,1,1.0,5,5
VNM,activation_steering,32,1.5,Utilitarianism,1,1.0,4,5
VNM,activation_steering,32,1.5,Utilitarianism,0,8.307397365570068e-07,4,1
VNM,activation_steering,32,1.5,Fitness,0,2.562999725341797e-06,4,4
VNM,activation_steering,32,1.5,Utilitarianism,1,1.0,2,5
VNM,activation_steering,32,1.5,Species,0,8.487701416015625e-05,4,4
VNM,activation_steering,32,1.5,Gender,1,1.0,3,3
VNM,activation_steering,32,1.5,Gender,0,5.424022674560547e-06,1,1
VNM,activation_steering,32,1.5,Gender,0,6.139278411865234e-06,4,4
VNM,activation_steering,32,1.5,SocialValue,0,4.4517219066619873e-07,1,1
VNM,activation_steering,32,1.5,Gender,0,7.338821887969971e-07,3,3
VNM,activation_steering,32,1.5,Gender,1,1.0,5,5
VNM,activation_steering,32,1.5,Age,0,5.699694156646729e-07,4,4
VNM,activation_steering,32,1.5,SocialValue,0,3.293156623840332e-06,1,1
VNM,activation_steering,32,1.5,Age,1,1.0,3,3
VNM,activation_steering,32,1.5,Gender,1,1.0,3,3
VNM,activation_steering,32,1.5,SocialValue,1,1.0,5,5
VNM,activation_steering,32,1.5,Fitness,0,1.4722347259521484e-05,4,4
VNM,activation_steering,32,1.5,Fitness,0,1.7583370208740234e-06,2,2
VNM,activation_steering,32,1.5,Gender,0,1.0654330253601074e-06,5,5
VNM,activation_steering,32,1.5,Species,0,6.973743438720703e-06,1,1
VNM,activation_steering,32,1.5,SocialValue,0,1.7583370208740234e-06,2,2
VNM,activation_steering,32,1.5,Fitness,0,5.424022674560547e-06,3,3
VNM,activation_steering,32,1.5,SocialValue,1,1.0,4,4
VNM,activation_steering,32,1.5,Gender,1,1.0,1,1
VNM,activation_steering,32,1.5,SocialValue,1,1.0,4,4
VNM,activation_steering,32,1.5,Species,0,0.00116729736328125,5,5
VNM,activation_steering,32,1.5,Age,1,1.0,5,5
