ablation,country,n_scenarios,jsd,pearson_r,spearman_rho,mae,rmse,mis,cosine_sim,n_criteria,flip_rate,mean_reliability_r,std_reliability_r,mean_bootstrap_var,std_bootstrap_var,mean_ess_pass1,mean_ess_pass2,mean_ess_anchor_alpha,mean_positional_bias,std_positional_bias,mean_delta_consensus,mean_delta_opt,mean_delta_opt_micro,std_delta_opt_micro,final_delta_country,final_alpha_h,prior_steps,util_slope_hat,util_slope_se,util_n_obs,elapsed_sec,model_Species_Humans,human_Species_Humans,model_Gender_Female,human_Gender_Female,model_Age_Young,human_Age_Young,model_Fitness_Fit,human_Fitness_Fit,model_SocialValue_High,human_SocialValue_High,model_Utilitarianism_More,human_Utilitarianism_More,abserr_Age_Young,signerr_Age_Young,abserr_Fitness_Fit,signerr_Fitness_Fit,abserr_Gender_Female,signerr_Gender_Female,abserr_SocialValue_High,signerr_SocialValue_High,abserr_Species_Humans,signerr_Species_Humans,abserr_Utilitarianism_More,signerr_Utilitarianism_More,model
Full SWA-DPBR,USA,310,0.06725933782089541,0.6563466994383523,0.7142857142857143,13.256592354772172,15.857311362648888,0.38842321530927587,0.6563466994383521,6,0.22903225806451613,0.9788237013456813,0.03765385107323181,0.0008890315552505051,0.0016704538383866489,0.6606449398302263,0.659048411538524,0.6379053610947825,-0.2739852267647943,2.3929927364580172,-0.33696658497135484,,-0.5256846081165056,2.355469401793695,-0.9335991143004198,0.9279215377612339,313,-0.04428291304566337,0.05308273014121473,20,23.062013864517212,75.1783092643768,79.20219438265315,51.27832781594122,56.0298882980414,63.5600498539547,74.5377281560045,48.12628661925259,58.8095535738558,39.52200778075946,67.9307274803549,55.85797792797926,76.5524214999873,10.977678302049803,-10.977678302049803,10.683266954603212,-10.683266954603212,4.751560482100182,-4.751560482100182,28.408719699595444,-28.408719699595444,4.023885118276354,-4.023885118276354,20.69444357200804,-20.69444357200804,Qwen/Qwen2.5-7B-Instruct
No-IS (consensus only),USA,310,0.0666951549079833,0.6080967202899468,0.7142857142857143,13.272283474868367,15.887334793572746,0.38915863617018737,0.6080967202899467,6,0.2064516129032258,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.26971623320733346,2.3913937075567744,-0.3356962961655471,,-0.3356962961655471,2.132599099578779,-0.4258802095596963,0.9279215377612339,313,-0.04576012051572148,0.04874670248499037,20,22.629299640655518,74.19456242272324,79.20219438265315,52.14135510095381,56.0298882980414,60.46058181027261,74.5377281560045,50.4762381925898,58.8095535738558,39.357874264715406,67.9307274803549,56.798200750432,76.5524214999873,14.077146345731897,-14.077146345731897,8.333315381266004,-8.333315381266004,3.8885331970875896,-3.8885331970875896,28.572853215639498,-28.572853215639498,5.00763195992991,-5.00763195992991,19.7542207495553,-19.7542207495553,Qwen/Qwen2.5-7B-Instruct
Always-on PT-IS,USA,310,0.06712622924893195,0.6538266609917389,0.7142857142857143,13.298480813798093,15.889691738833113,0.3892163693025831,0.6538266609917387,6,0.21935483870967742,1.0,0.0,0.0010381313110356893,0.002162524718517978,0.6604237486277857,0.6571424979356028,0.6358634842980293,-0.27789488730411377,2.3949092327432804,-0.33534468101758147,,-0.5199882126683669,2.3492314432422035,-0.966616836146491,0.9279215377612339,313,-0.046249827109085644,0.052848606896921585,20,22.557018995285034,75.08544472255593,79.20219438265315,51.194152801942316,56.0298882980414,63.54610724839489,74.5377281560045,48.25971140831601,58.8095535738558,39.58408567355417,67.9307274803549,55.60212665334519,76.5524214999873,10.991620907609615,-10.991620907609615,10.549842165539793,-10.549842165539793,4.835735496099083,-4.835735496099083,28.346641806800733,-28.346641806800733,4.116749660097213,-4.116749660097213,20.950294846642116,-20.950294846642116,Qwen/Qwen2.5-7B-Instruct
No debiasing,USA,310,0.0745452247844375,0.5860972598412302,0.7142857142857143,12.590158678151596,15.803689313943838,0.3871097487263755,0.5860972598412302,6,0.2129032258064516,0.9650831342781108,0.07363264332038347,0.0015967041315337002,0.0042294160793440155,0.6878877701297883,0.6876066210769838,0.6681073456041274,0.0,0.0,0.27634408376630276,,-0.08663138849059901,2.8550371470047873,-0.5242933401048936,0.9279215377612339,313,-0.054622264872225275,0.07308810594962718,20,12.108196258544922,71.43846735869141,79.20219438265315,53.03138295644993,56.0298882980414,68.81664810761534,74.5377281560045,49.90119323350085,58.8095535738558,37.392191079759876,67.9307274803549,56.94167858597009,76.5524214999873,5.721080048389169,-5.721080048389169,8.908360340354953,-8.908360340354953,2.9985053415914678,-2.9985053415914678,30.538536400595028,-30.538536400595028,7.763727023961735,-7.763727023961735,19.610742914017216,-19.610742914017216,Qwen/Qwen2.5-7B-Instruct
Without persona,USA,310,0.06383235562398065,0.7073262154530677,0.7142857142857143,14.025212135803896,16.24106922427406,0.3978233247669085,0.7073262154530676,6,0.2,0.9951145824535987,0.007741601505661315,0.0001971286837166215,0.00031631942622864766,0.3187082964566446,0.3143594893236314,0.29175533714794344,-0.2702364482946934,2.398826297297288,-1.085472654070585,,-1.0852585482095638,3.5332214694741033,-2.6538488034189895,0.9279215377612339,313,-0.025614112024657614,0.07389283868108802,20,15.266875743865967,74.2028977045792,79.20219438265315,49.41255552707627,56.0298882980414,65.37429716620325,74.5377281560045,45.130177380233405,58.8095535738558,41.07001102828267,67.9307274803549,53.72130176969889,76.5524214999873,9.163430989801256,-9.163430989801256,13.679376193622396,-13.679376193622396,6.6173327709651275,-6.6173327709651275,26.860716452072232,-26.860716452072232,4.9992966780739465,-4.9992966780739465,22.831119730288414,-22.831119730288414,Qwen/Qwen2.5-7B-Instruct
No country prior (a_h=0),USA,310,0.1112441644819232,0.5339853125955335,0.3142857142857143,13.778673122015269,18.337796939973714,0.4491824550970636,0.5339853125955335,6,0.07096774193548387,0.9750946257134475,0.042330919573423775,0.0010509434564249783,0.0018939982898359992,0.6561601099468046,0.6594601069727252,0.6361941806731686,-0.27497810163805564,2.3928222054189585,-0.33485444691633026,,-0.5161961805090428,2.344393841455482,-0.9390581794487296,0.9279215377612339,313,0.01574388146400454,0.06986632724674288,20,22.00115704536438,88.08782644569874,79.20219438265315,52.6121282170061,56.0298882980414,72.12513106758706,74.5377281560045,51.324466196811045,58.8095535738558,33.405872876677876,67.9307274803549,50.60631398111581,76.5524214999873,2.412597088417442,-2.412597088417442,7.485087377044756,-7.485087377044756,3.417760081035297,-3.417760081035297,34.52485460367703,-34.52485460367703,8.885632063045591,8.885632063045591,25.946107518871493,-25.946107518871493,Qwen/Qwen2.5-7B-Instruct
Full SWA-DPBR,JPN,310,0.0401130500744813,0.7117194000693673,0.6571428571428573,13.479669339691,14.759127733512946,0.361523319956667,0.7117194000693674,6,0.25806451612903225,0.9080708824799257,0.2458833021680401,0.08505650324490821,0.706712233814209,0.6405485718481002,0.6302823268598126,0.6132476840288409,32.78575234528511,22.59894478262604,-0.6872845458167215,,-1.5594204049963023,4.35017303734235,-0.39141277963259136,0.9279215377612339,313,-0.03786324273232189,0.08494403607830786,20,21.8799729347229,64.17371961901904,79.82474186208034,46.98888998055698,54.73972407640619,51.070402292756846,70.0032045118601,53.293086748783026,56.22273648607725,48.720699528016155,65.91141816927926,50.2598033787677,68.6827924803426,18.93280221910326,-18.93280221910326,2.929649737294227,-2.929649737294227,7.750834095849207,-7.750834095849207,17.190718641263103,-17.190718641263103,15.651022243061306,-15.651022243061306,18.4229891015749,-18.4229891015749,Qwen/Qwen2.5-7B-Instruct
No-IS (consensus only),JPN,310,0.09066989798867728,-0.5584674769006259,-0.5428571428571429,16.452641398348543,20.094947626030095,0.4922236809172589,-0.5584674769006259,6,0.1967741935483871,1.0,0.0,0.0,0.0,1.0,1.0,1.0,32.73857667446136,22.53706810513186,-0.7106202912907447,,-0.7106202912907447,2.35397290154657,-1.1068591009023505,0.9279215377612339,313,-0.00232204151919882,0.057985089812429336,20,20.665537118911743,48.68955836625243,79.82474186208034,56.98363017862446,54.73972407640619,53.29406683347469,70.0032045118601,55.69875725509558,56.22273648607725,44.30466749939489,65.91141816927926,42.185901267548985,68.6827924803426,16.709137678385417,-16.709137678385417,0.5239792309816735,-0.5239792309816735,2.2439061022182685,2.2439061022182685,21.60675066988437,-21.60675066988437,31.135183495827917,-31.135183495827917,26.496891212793614,-26.496891212793614,Qwen/Qwen2.5-7B-Instruct
Always-on PT-IS,JPN,310,0.04052639122379798,0.7054906077691174,0.6571428571428573,13.517523010743181,14.812576632775775,0.36283254526174047,0.7054906077691177,6,0.25161290322580643,1.0,0.0,0.033746986650379174,0.1739982841126651,0.6359576086363484,0.6402749715312834,0.6169038394285786,32.83521103397492,22.550730446394393,-0.710141182546654,,-1.5880230770957084,4.355642440004358,-0.4654681637037216,0.9279215377612339,313,-0.038831772539114684,0.08641123676374134,20,21.15546226501465,63.781208584755475,79.82474186208034,46.12456287149449,54.73972407640619,51.35328005918806,70.0032045118601,53.97627705548771,56.22273648607725,48.347293559635794,65.91141816927926,50.69685739102514,68.6827924803426,18.649924452672046,-18.649924452672046,2.246459430589546,-2.246459430589546,8.6151612049117,-8.6151612049117,17.564124609643464,-17.564124609643464,16.04353327732487,-16.04353327732487,17.985935089317458,-17.985935089317458,Qwen/Qwen2.5-7B-Instruct
No debiasing,JPN,310,0.04066372568637418,0.6866232800724195,0.6571428571428573,15.734967821958078,17.013854725443384,0.4167526263517668,0.6866232800724197,6,0.12903225806451613,0.9231633796338898,0.19963401295152047,0.17159767384988694,1.9580217376106348,0.809584092901599,0.8093125214499812,0.79446240288596,0.0,0.0,0.9549675892077146,,5.3583367501025,6.965869390058439,4.934348220140896,0.9279215377612339,313,0.0004303940709120595,0.11777008429220422,20,11.08985424041748,56.760841414313255,79.82474186208034,43.85228687819577,54.73972407640619,50.47857464938783,70.0032045118601,52.464212821227655,56.22273648607725,47.38700910621465,65.91141816927926,50.03188578495812,68.6827924803426,19.524629862472274,-19.524629862472274,3.758523664849598,-3.758523664849598,10.88743719821042,-10.88743719821042,18.52440906306461,-18.52440906306461,23.06390044776709,-23.06390044776709,18.650906695384478,-18.650906695384478,Qwen/Qwen2.5-7B-Instruct
