model,method,country,dimension,human,model_mpr,abs_err
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,USA,Species_Humans,79.20219438265315,50.44106962648883,28.761124756164314
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,USA,Utilitarianism_More,76.5524214999873,50.163011734358896,26.389409765628407
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,USA,Age_Young,74.5377281560045,50.18624568242148,24.351482473583026
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,USA,SocialValue_High,67.9307274803549,50.00695063780578,17.923776842549124
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,USA,Fitness_Fit,58.8095535738558,50.04038839525119,8.76916517860461
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,USA,Gender_Female,56.0298882980414,50.0740967898645,5.955791508176901
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,GBR,Species_Humans,79.86732647450006,50.26302063329392,29.60430584120614
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,GBR,Utilitarianism_More,76.9693326806953,50.1339741215333,26.835358559162003
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,GBR,Age_Young,75.1475184681438,50.19335482953373,24.95416363861007
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,GBR,SocialValue_High,67.6880909457592,50.00353741732779,17.684553528431408
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,GBR,Fitness_Fit,59.827081815426396,50.100395559490806,9.72668625593559
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,GBR,Gender_Female,54.830638199490686,50.029860705341925,4.800777494148761
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,DEU,Species_Humans,82.44449804706495,50.13593187167211,32.30856617539284
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,DEU,Utilitarianism_More,75.14357520664106,49.889989794913404,25.253585411727656
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,DEU,Age_Young,73.9074790565083,50.02043429011308,23.887044766395213
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,EXP-24-QWEN25_7B_dual_pass,DEU,SocialValue_High,64.736481239021,50.0346088394122,14.701872399608803
