method,country,layer,alpha,n_scenarios,elapsed_sec,mis,jsd,pearson_r
activation_steering,USA,32,1.5,310,14.97842001914978,0.47752853200656464,0.050186046832563315,0.4217806343597352
activation_steering,GBR,32,1.5,310,10.600536346435547,0.48577267340455366,0.052381737309461635,0.4221631512315164
activation_steering,DEU,32,1.5,310,20.734014987945557,0.3929706965819608,0.04595020043722874,0.7015289921370854
activation_steering,ARG,32,1.5,310,12.738062143325806,0.3389221698203051,0.03623031977014783,0.7255532845343595
activation_steering,BRA,32,1.5,310,12.152436971664429,0.2842919135479612,0.03583047428978586,0.7528312686958206
activation_steering,MEX,32,1.5,310,10.545623779296875,0.36665621944732263,0.03844416965469203,0.6822359367887166
activation_steering,COL,32,1.5,310,10.320749521255493,0.3700400884629648,0.04059563845534579,0.6431008138411897
activation_steering,VNM,32,1.5,310,28.661128997802734,0.4791504933083474,0.04957046176890129,0.5522227609452599
activation_steering,MMR,32,1.5,310,10.318884372711182,0.4384750169842417,0.058976900989248876,0.5637621459054702
activation_steering,THA,32,1.5,310,10.321659564971924,0.4142956427881164,0.05476697746199854,0.2447742070657261
activation_steering,MYS,32,1.5,310,10.345116138458252,0.4190546376290691,0.04741503277944717,0.32846409660066395
activation_steering,IDN,32,1.5,310,17.09000825881958,0.45924513597147076,0.05055883323361738,0.7648736582755025
activation_steering,CHN,32,1.5,310,18.99065327644348,0.40250711471703715,0.07958702340294173,0.14205508412212606
activation_steering,JPN,32,1.5,310,21.932931184768677,0.3996833104781391,0.0460293944945192,0.5676089857737052
activation_steering,BGD,32,1.5,310,10.384625673294067,0.4533979225103078,0.05180736925542326,0.385241987245607
activation_steering,IRN,32,1.5,310,32.43222379684448,0.42100530161911026,0.06326499866970554,0.4494303583385237
activation_steering,SRB,32,1.5,310,10.418204307556152,0.4778518453578865,0.05224476797686026,0.3708542850320125
activation_steering,ROU,32,1.5,310,10.231892347335815,0.4798396155497842,0.054951323326538515,0.2844435150851416
activation_steering,KGZ,32,1.5,310,10.348698854446411,0.4609993622261879,0.05508267500116324,0.2716050193424143
activation_steering,ETH,32,1.5,310,10.337700128555298,0.5866203051154554,0.06476839832758766,0.28915996584267134
