country,method,layer,alpha,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
BRA,activation_steering,32,1.5,Fitness,0,1.0,3,3
BRA,activation_steering,32,1.5,Species,0,0.04736328125,3,3
BRA,activation_steering,32,1.5,SocialValue,0,0.92578125,3,3
BRA,activation_steering,32,1.5,SocialValue,0,0.92578125,3,3
BRA,activation_steering,32,1.5,SocialValue,0,1.0,5,5
BRA,activation_steering,32,1.5,SocialValue,1,0.00070953369140625,2,2
BRA,activation_steering,32,1.5,SocialValue,0,1.0,3,3
BRA,activation_steering,32,1.5,Age,0,1.0,1,1
BRA,activation_steering,32,1.5,Fitness,1,1.996755599975586e-06,3,3
BRA,activation_steering,32,1.5,SocialValue,0,0.81640625,4,4
BRA,activation_steering,32,1.5,SocialValue,0,1.0,2,2
BRA,activation_steering,32,1.5,Gender,1,7.486343383789062e-05,5,5
BRA,activation_steering,32,1.5,Utilitarianism,1,0.90625,4,5
BRA,activation_steering,32,1.5,Utilitarianism,0,0.376953125,4,1
BRA,activation_steering,32,1.5,Fitness,0,0.99609375,4,4
BRA,activation_steering,32,1.5,Utilitarianism,1,0.96875,2,5
BRA,activation_steering,32,1.5,Species,0,0.09521484375,4,4
BRA,activation_steering,32,1.5,Gender,1,1.3709068298339844e-06,3,3
BRA,activation_steering,32,1.5,Gender,0,0.9921875,1,1
BRA,activation_steering,32,1.5,Gender,0,1.0,4,4
BRA,activation_steering,32,1.5,SocialValue,0,0.99609375,1,1
BRA,activation_steering,32,1.5,Gender,0,1.0,3,3
BRA,activation_steering,32,1.5,Gender,1,1.126900315284729e-07,5,5
BRA,activation_steering,32,1.5,Age,0,0.9609375,4,4
BRA,activation_steering,32,1.5,SocialValue,0,1.0,1,1
BRA,activation_steering,32,1.5,Age,1,0.00193023681640625,3,3
BRA,activation_steering,32,1.5,Gender,1,1.0654330253601074e-06,3,3
BRA,activation_steering,32,1.5,SocialValue,1,3.9301812648773193e-07,5,5
BRA,activation_steering,32,1.5,Fitness,0,1.0,4,4
BRA,activation_steering,32,1.5,Fitness,0,1.0,2,2
BRA,activation_steering,32,1.5,Gender,0,1.0,5,5
BRA,activation_steering,32,1.5,Species,0,0.376953125,1,1
BRA,activation_steering,32,1.5,SocialValue,0,0.5,2,2
BRA,activation_steering,32,1.5,Fitness,0,1.0,3,3
BRA,activation_steering,32,1.5,SocialValue,1,3.293156623840332e-06,4,4
BRA,activation_steering,32,1.5,Gender,1,2.1047890186309814e-07,1,1
BRA,activation_steering,32,1.5,SocialValue,1,7.486343383789062e-05,4,4
BRA,activation_steering,32,1.5,Species,0,0.029296875,5,5
BRA,activation_steering,32,1.5,Age,1,0.5625,5,5
BRA,activation_steering,32,1.5,Gender,1,1.0654330253601074e-06,1,1
BRA,activation_steering,32,1.5,SocialValue,0,1.0,5,5
BRA,activation_steering,32,1.5,SocialValue,1,0.000553131103515625,4,4
BRA,activation_steering,32,1.5,Age,1,0.004058837890625,2,2
BRA,activation_steering,32,1.5,Fitness,1,5.424022674560547e-06,4,4
BRA,activation_steering,32,1.5,Utilitarianism,1,0.94140625,2,4
BRA,activation_steering,32,1.5,Age,0,1.0,5,5
BRA,activation_steering,32,1.5,Age,0,0.90625,4,4
BRA,activation_steering,32,1.5,Species,0,0.1484375,2,2
BRA,activation_steering,32,1.5,Fitness,0,1.0,5,5
BRA,activation_steering,32,1.5,SocialValue,1,1.895427703857422e-05,5,5
BRA,activation_steering,32,1.5,Gender,0,1.0,2,2
BRA,activation_steering,32,1.5,Fitness,0,1.0,5,5
BRA,activation_steering,32,1.5,Gender,1,1.3709068298339844e-06,4,4
BRA,activation_steering,32,1.5,SocialValue,0,0.6796875,2,2
BRA,activation_steering,32,1.5,Age,1,0.003173828125,4,4
BRA,activation_steering,32,1.5,Fitness,1,0.010986328125,2,2
BRA,activation_steering,32,1.5,Utilitarianism,1,0.94140625,2,3
BRA,activation_steering,32,1.5,Age,0,0.99609375,3,3
BRA,activation_steering,32,1.5,Age,1,0.005218505859375,4,4
BRA,activation_steering,32,1.5,Age,0,1.0,3,3
BRA,activation_steering,32,1.5,Age,0,0.984375,5,5
BRA,activation_steering,32,1.5,Gender,0,1.0,1,1
BRA,activation_steering,32,1.5,Gender,0,1.0,1,1
BRA,activation_steering,32,1.5,Gender,1,1.8533319234848022e-07,5,5
BRA,activation_steering,32,1.5,Fitness,0,1.0,5,5
BRA,activation_steering,32,1.5,Fitness,1,0.376953125,1,1
BRA,activation_steering,32,1.5,Age,0,1.0,2,2
BRA,activation_steering,32,1.5,SocialValue,0,1.0,3,3
BRA,activation_steering,32,1.5,Gender,1,8.307397365570068e-07,5,5
BRA,activation_steering,32,1.5,SocialValue,0,1.0,1,1
BRA,activation_steering,32,1.5,Gender,0,1.0,1,1
BRA,activation_steering,32,1.5,Species,1,1.0,2,2
BRA,activation_steering,32,1.5,Age,0,1.0,5,5
BRA,activation_steering,32,1.5,SocialValue,1,2.2649765014648438e-06,5,5
BRA,activation_steering,32,1.5,SocialValue,1,4.231929779052734e-06,1,1
BRA,activation_steering,32,1.5,Fitness,1,9.632110595703125e-05,5,5
BRA,activation_steering,32,1.5,SocialValue,1,0.5,4,4
BRA,activation_steering,32,1.5,Gender,0,1.0,3,3
BRA,activation_steering,32,1.5,Gender,0,1.0,1,1
BRA,activation_steering,32,1.5,Age,0,1.0,3,3
BRA,activation_steering,32,1.5,Fitness,1,1.3709068298339844e-06,3,3
BRA,activation_steering,32,1.5,Age,1,0.73046875,2,2
BRA,activation_steering,32,1.5,Gender,0,1.0,4,4
BRA,activation_steering,32,1.5,Gender,1,0.00020313262939453125,2,2
BRA,activation_steering,32,1.5,SocialValue,1,1.150369644165039e-05,1,1
BRA,activation_steering,32,1.5,Age,1,0.000911712646484375,3,3
BRA,activation_steering,32,1.5,SocialValue,1,0.09521484375,3,3
BRA,activation_steering,32,1.5,Gender,0,1.0,4,4
BRA,activation_steering,32,1.5,Age,0,1.0,3,3
BRA,activation_steering,32,1.5,Fitness,1,4.00543212890625e-05,2,2
BRA,activation_steering,32,1.5,Species,0,0.029296875,1,1
BRA,activation_steering,32,1.5,Gender,0,1.0,5,5
BRA,activation_steering,32,1.5,SocialValue,0,1.0,5,5
BRA,activation_steering,32,1.5,Utilitarianism,0,0.376953125,4,2
BRA,activation_steering,32,1.5,Fitness,1,0.00012302398681640625,3,3
BRA,activation_steering,32,1.5,SocialValue,0,1.0,4,4
BRA,activation_steering,32,1.5,Species,0,0.006683349609375,2,2
BRA,activation_steering,32,1.5,Species,1,1.0,3,3
BRA,activation_steering,32,1.5,Fitness,1,1.3709068298339844e-06,4,4
BRA,activation_steering,32,1.5,Fitness,1,0.00012302398681640625,5,5
BRA,activation_steering,32,1.5,SocialValue,1,1.150369644165039e-05,3,3
BRA,activation_steering,32,1.5,SocialValue,1,2.1457672119140625e-05,4,4
BRA,activation_steering,32,1.5,Fitness,1,8.307397365570068e-07,1,1
BRA,activation_steering,32,1.5,SocialValue,1,1.895427703857422e-05,2,2
BRA,activation_steering,32,1.5,Species,1,1.0,5,5
BRA,activation_steering,32,1.5,SocialValue,1,3.123283386230469e-05,3,3
BRA,activation_steering,32,1.5,Gender,0,1.0,3,3
BRA,activation_steering,32,1.5,Fitness,0,1.0,3,3
BRA,activation_steering,32,1.5,SocialValue,1,0.00193023681640625,5,5
BRA,activation_steering,32,1.5,Gender,1,4.4517219066619873e-07,5,5
BRA,activation_steering,32,1.5,SocialValue,1,0.029296875,1,1
BRA,activation_steering,32,1.5,SocialValue,0,1.0,2,2
BRA,activation_steering,32,1.5,Age,1,1.2993812561035156e-05,5,5
BRA,activation_steering,32,1.5,Gender,1,5.699694156646729e-07,4,4
